Name,Week,Challenge Type,URL,Start Time (EDT),End Time (EDT),Challenge Text,Number of Moments,What You'll Need,Completions,Challenge Payout,Extra Info,short_form
Thursday Night Challenge - Sept 8,1,Thursday Night,https://nflallday.com/challenges/6142f89c-dc23-4b64-9cf7-b08c03293597,2022-09-08 23:30,2022-09-09 23:30,"2022 NFL Kickoff is here, and it’s time for the first Challenge of the 2022 NFL regular season! For this Challenge, we’ll be focusing on the pass-catchers with the most yards receiving during the 2022 NFL Kickoff game. You will also need a defensive player from either team to complete your Challenge Entry. Fans will need four total Moments:

- One (1) Moment from each of the top 3 players with the most receiving yards in the Bills/Rams game.
- One (1) Moment from a DL/DB/LB who played at least one snap in the Bills/Rams game.",4,"[""Cooper Kupp - Receiving Yards Leader #1 - Bills vs Rams"", ""Stefon Diggs - Receiving Yards Leader #2 - Bills vs Rams"", ""Gabriel Davis - Receiving Yards Leader #3 - Bills vs Rams"", ""Any Defensive Player - Bills vs Rams""]",3526,15 Yards,"{""Any Defensive Player - Bills vs Rams"": [""TBD""]}",w01_thursday
Sunday Daytime Football - Sept 11th,1,Sunday Slate,https://nflallday.com/challenges/9ab69222-e9a5-49ae-a769-7ea9b605e7cf,2022-09-11 20:00,2022-09-12 12:00,"There's nothing quite like the first Sunday of the NFL season. Get settled in your favorite place to watch all the games. Whether you have one TV with RedZone or 9 TVs with every game, you'll want to keep track of all the action. Today we are focused on the top rushers and NFL ALL DAY debuts.
Fans will need eight total Moments:

- One (1) Moment from each of the top 5 players with the most rushing yards
- Three (3) Moments with an ALL DAY Debut Badge",8,"[""Saquon Barkley - Rushing Yard Leader #1"",
""Jonathan Taylor - Rushing Yard Leader #2"",
""D'Andre Swift - Rushing Yard Leader #3"",
""Nick Chubb - Rushing Yard Leader #4"",
""Cordarrelle Patterson - Rushing Yard Leader #5"",
""ALL DAY DEBUT Badge - Player #1"",
""ALL DAY DEBUT Badge - Player #2"",
""ALL DAY DEBUT Badge - Player #3""]",2812,15 Yards,"{""ALL DAY DEBUT Badge Players: [""TBD""]}",w01_slate
Sunday Night Football - Sept 11th,1,Sunday Night,https://nflallday.com/challenges/0e4a928c-bc36-48ed-a0ec-3cefe2972786,2022-09-11 23:30,2022-09-12 15:30,"The Buccaneers have their eyes on a return to the Super Bowl. The Cowboys have their eyes on a deep playoff run. Big plays through the air are the focus of Buccaneers-Cowboys, so collect the players who make the longest plays on Sunday night. Fans will need five total Moments:

- One (1) Moment from the player with the longest reception in the Bucs/Cowboys Sunday Night Game
- One (1) Moment from a DL/DB/LB who played at least one snap in the Bucs/Cowboys Sunday Night Game
- Three (3) Moments from any players who recorded at least one reception in the Bucs/Cowboys Sunday Night Game",5,"[""Julio Jones - Longest Reception - Bucs vs Cowboys"",
""Any Defensive Player - Bucs vs Cowboys"",
""Any player with a Reception - Bucs vs Cowboys"",
""Any player with a Reception - Bucs vs Cowboys"",
""Any player with a Reception - Bucs vs Cowboys""]",2774,15 Yards,"{
    ""Any player with a Reception - Bucs vs Cowboys"": [
        ""TBD""
    ]
}",w01_sunday_night
Monday Night Football - Sept 12th,1,Monday Night,https://nflallday.com/challenges/74650b57-16b0-40fe-bb79-05f54d72bbf8,2022-09-12 23:30,2022-09-13 15:30,"Monday night. Under the lights. It's all about scoring touchdowns and that will be the focus of this challenge.Fans will need the following:

- One (1) Moment from every player who records a touchdown in the Monday Night Game*

*In the unlikely event that no touchdowns are scored on Monday Night Football, fans will need one Moment each from the player with the most passing yards, the player with the most rushing yards and the player with the most receiving yards that have ALL DAY Moments. If there are any ties, you can use any player tied for the lead in each category.",2,"[""Russell Wilson - Touchdown Scorer - Broncos vs Seahawks"",
""Jerry Jeudy - Touchdown Scorer - Broncos vs Seahawks""]",4099,15 Yards,{},w01_monday
End Of Week - Sept 12th,1,End of Week,https://nflallday.com/challenges/91bdc1b6-ac35-477e-9871-f762f7b35cf9,2022-09-12 23:30,2022-09-13 15:30,"Put a bow on the first week of the 2022 NFL season by collecting some of the top performers across stat categories. Fans will need five Moments:

- One (1) Moment from any player that finished in the Top 5 (including ties) in receiving yards from Week 1 games
- One (1) Moment from any player that finished in the Top 5 (including ties) in rushing yards from Week 1 games
- One (1) Moment from any player that finished in the Top 5 (including ties) in passing yards from Week 1 games
- One (1) Moment from any defensive player that recorded one (1.0) or more sacks from Week 1 games
- One (1) Moment from the Opening Acts (Historical Series) set",5,"[""Top 5 Receiving Yard Leader - Week 1"",
""Top 5 Rushing Yard Leader - Week 1"",
""Top 5 Passing Yard Leader - Week 1"",
""1.0 or More Recorded Sacks - Week 1"",
""Opening Acts (Historical Series) Set""]",7652,15 Yards,"{
    ""Top 5 Receiving Yard Leader - Week 1"": [
        ""Justin Jefferson"",
        ""A.J. Brown"",
        ""Davante Adams"",
        ""Ja'Marr Chase"",
        ""Cooper Kupp""
    ],
    ""Top 5 Rushing Yard Leader - Week 1"": [
        ""Saquon Barkley"",
        ""Jonathan Taylor"",
        ""D'Andre Swift"",
        ""Nick Chubb"",
        ""Leonard Fournette""
    ],
    ""Top 5 Passing Yard Leader - Week 1"": [
        ""Patrick Mahomes"",
        ""Matt Ryan"",
        ""Russell Wilson"",
        ""Joe Burrow"",
        ""Carson Wentz""
    ]
}",w01_weekly
Thursday Night Challenge - Sept 15,2,Thursday Night,https://nflallday.com/challenges/f224a507-7e3c-4990-87d7-38ea00cc8e1c,2022-09-15 23:30,2022-09-16 15:30,"To complete this Challenge, fans will need to successfully submit a Challenge Entry with the following requirements (4 Total Moments):

- 1 Moment from the player with the most receptions in this game.*
- 1 Moment from a DB/DL/LB on the Los Angeles Chargers who played at least one (1) snap in this game (LAC)
- 1 Moment from a DB/DL/LB on the Kansas City Chiefs who played at least one (1) snap in this game (KC)
- 1 Moment from the Quarterback with the most passing yards in this game.
  * You may also use a wild card for this requirement. The wildcard is any rare or legendary Moment from a QB who played at least one (1) snap in this game. (Ex. If Mahomes has the most passing yards in this game you can use any Mahomes Moment or any Rare/Legendary Herbert Moment and vice versa.)",4,"[""Austin Ekeler - Receptions Leader - Chiefs vs Chargers"",
""Chargers Defensive Player - Chiefs vs Chargers"",
""Chiefs Defensive Player - Chiefs vs Chargers"",
""Justin Herbert Any Moment OR Patrick Mahomes Rare/Legendary Moment""]",4173,15 Yards,"{
    ""Chargers Defensive Player - Chiefs vs Chargers"": [
        ""Joey Bosa"",
        ""Khalil Mack"",
        ""J.C. Jackson"",
        ""Nick Niemann""
    ],
    ""Chiefs Defensive Player - Chiefs vs Chargers"": [
        ""Nick Bolton"",
        ""Chris Jones"",
        ""Carlos Dunlap"",
        ""Tershawn Wharton""
    ]
}",w02_thursday
Sunday Slate - Sept. 18,2,Sunday Slate,https://nflallday.com/challenges/c1a3a6ee-94b3-43c0-b70a-8b31c97f9adb,2022-09-18 20:00,2022-09-19 12:00,"To complete this Challenge, fans will need to successfully submit a Challenge Entry with 2 Moments from each position (2 QB, 2 RB, 2 WR, 2 TE) based on top performances in Most Combined Yards (Passing + Rushing + Receiving) during the Sunday day games.

- Fans may use any Moment from players who finish in the Top 2 that have NFL ALL DAY Moments at each position.
- Fans may use any Rare or Higher Moment from players who finish in the Top 3 that have NFL ALL DAY Moments at each position.
- Fans may use any Legendary from players who finish in the Top 5 that have NFL ALL DAY Moments at each position.",8,"[""Tua Tagovailoa - Total Yards Leader #1 - QB"",
""Lamar Jackson - Total Yards Leader #2 - QB"",
""Tyreek Hill - Total Yards Leader #1 - WR"",
""Amon-Ra St. Brown - Total Yards Leader #2 - WR"",
""Mark Andrews - Total Yards Leader #1 - TE"",
""Tyler Higbee - Total Yards Leader #2 - TE"",
""Christian McCaffrey - Total Yards Leader #1 - RB"",
""Nick Chubb - Total Yards Leader #2 - RB""]",2771,15 Yards,"{
    ""Total Yards Leaders - QB - Week 2"": [
        ""TBD""
    ],
    ""Total Yards Leaders - WR - Week 2"": [
        ""TBD""
    ],
    ""Total Yards Leaders - TE - Week 2"": [
        ""TBD""
    ],
    ""Total Yards Leaders - RB - Week 2"": [
        ""TBD""
    ]
}",w02_slate
Sunday Night Football - Sept. 18,2,Sunday Night,https://nflallday.com/challenges/283b1fbc-624f-4255-ac87-a3a57337cf63,2022-09-18 20:00,2022-09-19 12:30,"To complete this Challenge, fans will need to successfully submit a Challenge Entry with the following requirements (5 Total Moments):

- 2 Moments from the Green Bay Packers and/or Chicago Bears from the Rivalries Set.
- 1 Moment of each player who finishes in the Top 3 in Rushing Attempts.


*Wildcard: Fans may use any Legendary Green Bay or Chicago Moment from the Historical Series in place of any of the Top 3 players in Rushing Attempts. (For example, you have Moments for players 1 and 2 but you don't have a Moment for 3, you can use a qualifying Legendary Moment in its place)",5,"[""Rivalries Set Moment - Packers vs Bears"",
""Rivalries Set Moment - Packers vs Bears"",
""AJ Dillon - Rushing Attempt Leader #1 - Bears vs Packers"",
""Aaron Jones - Rushing Attempt Leader #2 - Bears vs Packers"",
""David Montgomery - Rushing Attempt Leader #3 - Bears vs Packers""]",3598,15 Yards,"{""Legendary - Historical Series - Green Bay Packers or Chicago Bears"": [""TBD""] }",w02_sunday_night
Monday Night Challenge - Sept. 19,2,Monday Night,https://nflallday.com/challenges/a2b9312d-8af7-471e-9091-62d04831fc9a,2022-09-19 23:00,2022-09-20 15:30,"To complete this Challenge, fans will need to successfully submit a Challenge Entry with the following requirements (4 Total Moments):

- 1 Moment of the player who has the Most Receiving Yards in the Minnesota Vikings @ Philadelphia Eagles game.
- 1 Moment of the player who has the Most Rushing Yards in the Tennessee Titans @ Buffalo Bills game.
- 1 Moment of the QB who has the Most Total Touchdowns between BOTH games on Monday, September 19th, 2022.
- 1 Moment assigned to a team that played on Monday, September 19th, 2022. (Ex. Team Assignment)",4,"[""Dallas Goedert - Receiving Yard Leader - Vikings vs Eagles"",
""Derrick Henry - Rushing Yard Leader - Bills vs Titans"",
""Josh Allen - Combined Touchdowns Leader - QB"",
""Team Moment - Vikings vs Eagles, Titans vs Bills""]",478,15 Yards,"{
    ""Team Moment - Vikings vs Eagles, Titans vs Bills"": [
        ""Minnesota Vikings"",
        ""Philadelphia Eagles"",
        ""Tennessee Titans"",
        ""Buffalo Bills""
    ]
}",w02_monday
End Of Week - Sept 19,2,End of Week,https://nflallday.com/challenges/5070723b-850d-47ca-8bcf-429dde652a1d,2022-09-19 23:00,2022-09-20 15:30,"To complete this Challenge, fans will need to successfully submit a Challenge Entry with the following requirements (5 Total Moments):

All Moments Must have a “Rookie Mint” badge.

- 1 Moment of the QB with the Most Passing Yards in Week 2 that has a Rookie Mint Badge Moment.
- 1 Moment of the RB with the Most Receiving Yards in Week 2 that has a Rookie Mint Badge Moment.
- 1 Moment of the WR with the Most Receiving Yards in Week 2 that has a Rookie Mint Badge Moment.
- 1 Moment of the TE with the Most Receiving Yards in Week 2 that has a Rookie Mint Badge Moment.
- 1 Moment of any Defensive player that has a Rookie Mint Badge Moment who recorded 3 or more tackles in Week 2.

Wildcard: Fans may use any Rare or higher tier Moment (not limited to Rookie Mint badge) of a player who finished in the Top 2 overall for the required statistic at each respective position, or any Legendary Moment (not limited to Rookie Mint badge) of a player who finished in the Top 5 overall for the required statistic at each respective position.",5,"[""Mac Jones - Rookie Mint Passing Yard Leader - QB"",
""Najee Harris - Rookie Mint Receiving Yard Leader - RB"",
""Jaylen Waddle - Rookie Mint Receiving Yard Leader - WR"",
""Brock Wright - Rookie Mint Receiving Yard Leader - TE"",
""Defensive Player - 3+ Tackles""]",3653,15 Yards,"{
    ""Defensive Player - Rookie Mint - 3+ Tackles"": [
        ""TBD""
    ],
    ""Passing Yards Leaders - QB - Week 2"": [
        ""TBD""
    ],
    ""Receiving Yards Leaders - WR - Week 2"": [
        ""TBD""
    ],
    ""Receiving Yards Leaders - TE - Week 2"": [
        ""TBD""
    ],
    ""Receiving Yards Leaders - RB - Week 2"": [
        ""TBD""
    ],
    ""Tackles Leaders - Defense - Week 2"": [
        ""TBD""
    ]
}",w02_weekly
