marketplace_id,Player,Team,Position,Position Group,Play_Type,Season,Week,Moment_Date,Game Outcome,won_game,Description only (Moment TD),Conservative (In-game TD),Conservative (Moment TD),Best Guess: (In-game TD),Best Guess (Moment TD),Moment_Tier,Rarity,Moment_Description,NFLALLDAY_ASSETS_URL,Total_Circulation,Price,tx_id,site
353,Olamide Zaccheaus,Atlanta Falcons,WR,Offense,Reception,2021,13,2021-12-05 00:00:00.000,Loss,False,False,False,False,False,False,COMMON,0,"One hand was all Olamide Zaccheaus needed to make this tough grab in the red zone late in the fourth quarter for Atlanta. Adjusting with the defender in front of him, he was able to pull it in as the Falcons continued their late push before ultimately running out of time in a 30-17 loss to Tampa Bay on Dec. 5, 2021.",https://assets.nflallday.com/editions/base/f1be36f4-974b-43aa-935f-0a28d81e15f2/play_f1be36f4-974b-43aa-935f-0a28d81e15f2_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4,10000,7.0115384615384615,520,https://nflallday.com/listing/moment/353
354,Mark Andrews,Baltimore Ravens,TE,Offense,Reception,2021,13,2021-12-05 00:00:00.000,Loss,False,False,False,False,False,False,COMMON,0,"Mark Andrews found a gap in the Pittsburgh defense and quarterback Lamar Jackson found Andrews to move the Baltimore offense inside the Pittsburgh 10-yard line. Andrews had four catches for 50 yards in his team's 20-19 loss to the Steelers on Dec. 5, 2021.",https://assets.nflallday.com/editions/base/fdb7e4ee-45ae-4f94-add4-7547db116bda/play_fdb7e4ee-45ae-4f94-add4-7547db116bda_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4,10000,34.357984994640944,1866,https://nflallday.com/listing/moment/354
355,Jerry Jeudy,Denver Broncos,WR,Offense,Reception,2021,13,2021-12-05 00:00:00.000,Loss,False,False,False,False,False,False,COMMON,0,"Trying to get an offensive spark after starting slow out of the gate, Jerry Jeudy was on the receiving end of this floating pass from Teddy Bridgewater for a gain of 36 yards. Jeudy finished with four catches for 77 yards against Kansas City in a 22-9 loss on Dec. 5, 2021.",https://assets.nflallday.com/editions/base/72f369c1-5e6e-415e-b3c8-a19c2cebb72b/play_72f369c1-5e6e-415e-b3c8-a19c2cebb72b_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4,10000,27.798295454545453,1760,https://nflallday.com/listing/moment/355
356,Brock Wright,Detroit Lions,TE,Offense,Reception,2021,13,2021-12-05 00:00:00.000,Win,True,True,True,True,True,True,COMMON,0,"How's this for a first career touchdown? Brock Wright found space down the seam, made the catch, and absorbed the hit to reel in the score. It was one of two catches for him on the day in Detroit's 29-27 victory over Minnesota on Dec. 5, 2021.",https://assets.nflallday.com/editions/base/99e3af0e-48b6-49a8-b4e5-519e4424c08a/play_99e3af0e-48b6-49a8-b4e5-519e4424c08a_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4,10000,29.121998702141468,1541,https://nflallday.com/listing/moment/356
358,Ashton Dulin,Indianapolis Colts,WR,Offense,Reception,2021,13,2021-12-05 00:00:00.000,Win,True,True,True,True,True,True,COMMON,0,"With the Colts looking to get more points on the board before halftime, Ashton Dulin locked in on this pass from Carson Wentz. Grab. Two feet. Touchdown. This TD was his lone reception of the day in a 31-0 Indianapolis win over Houston on Dec. 5, 2021.",https://assets.nflallday.com/editions/base/027b4643-97cf-4549-b1fe-4766be1f5786/play_027b4643-97cf-4549-b1fe-4766be1f5786_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4,10000,8.614525139664805,716,https://nflallday.com/listing/moment/358
359,Kenny Moore II,Indianapolis Colts,DB,Defense,Interception,2021,13,2021-12-05 00:00:00.000,Win,True,False,,False,False,False,COMMON,0,"This is about as fast a start as a defense can hope for. On the first play from scrimmage for the Houston offense, Kenny Moore II jumped in front of this Tyrod Taylor pass and snuck two feet inbounds to give the ball to his team's offense in Texans territory. He added four total tackles on the day in a 31-0 Colts win on Dec. 5, 2021.",https://assets.nflallday.com/editions/base/32c053b3-bff0-4d72-a39d-0e34d083e555/play_32c053b3-bff0-4d72-a39d-0e34d083e555_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4,10000,6.9344773790951635,641,https://nflallday.com/listing/moment/359
363,Foster Moreau,Las Vegas Raiders,TE,Offense,Reception,2021,13,2021-12-05 00:00:00.000,Loss,False,False,False,False,False,False,COMMON,0,"Foster Moreau found an opening down the seam and Derek Carr delivered a dart for the Raiders first down. Moreau then eluded one tackler and absorbed another to bring the ball inside the Washington 30-yard line. It was his lone catch of the day in a 17-15 loss to Washington on Dec. 5, 2021.",https://assets.nflallday.com/editions/base/4cea5a04-2de6-4e34-8b93-d0eb8db70705/play_4cea5a04-2de6-4e34-8b93-d0eb8db70705_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4,10000,7.446464646464647,495,https://nflallday.com/listing/moment/363
364,Ben Skowronek,Los Angeles Rams,WR,Offense,Reception,2021,13,2021-12-05 00:00:00.000,Win,True,False,False,False,False,False,COMMON,0,"Ben Skowronek found space in the middle of the Jacksonville defense and quarterback Matthew Stafford dropped it to him for a 35-yard gain into Jacksonville territory. This was Skowronek's lone catch of the day in a 37-7 Los Angeles win over the Jaguars on Dec. 5, 2021.",https://assets.nflallday.com/editions/base/d4a4d6ae-363a-4c38-b3fe-e06e9feaa179/play_d4a4d6ae-363a-4c38-b3fe-e06e9feaa179_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4,10000,19.793322734499206,629,https://nflallday.com/listing/moment/364
366,Mack Hollins,Miami Dolphins,WR,Offense,Reception,2021,13,2021-12-05 00:00:00.000,Win,True,True,True,True,True,True,COMMON,0,"At first, Mack Hollins may not have secured this Tua Tagovailoa pass, but there was no panic. As he turned and began falling to the ground, he stayed focused, pulled it in, and dragged two feet inbounds for the score. This touchdown was his lone catch of the game in a 20-9 win over New York on Dec. 5, 2021.",https://assets.nflallday.com/editions/base/868b83af-2dd7-4041-b975-2a42176c1c7d/play_868b83af-2dd7-4041-b975-2a42176c1c7d_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4,10000,7.129242819843342,766,https://nflallday.com/listing/moment/366
367,Blake Lynch,Minnesota Vikings,LB,Defense,Strip Sack,2021,13,2021-12-05 00:00:00.000,Loss,False,False,,False,False,False,COMMON,0,"Blake Lynch was the definition of persistent on this strip-sack and turnover. At first overshooting quarterback Jared Goff as he stepped up, Lynch stuck with it, knocked the ball loose, and pulled it into his body before it even had a chance to hit the ground. That would give the ball back to the Vikings offense, already in Detroit territory. Lynch finished with nine total tackles and two sacks on the day in a 29-27 loss to the Lions on Dec. 5, 2021.",https://assets.nflallday.com/editions/base/5546d146-3c88-463c-936f-749c54e94f44/play_5546d146-3c88-463c-936f-749c54e94f44_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4,10000,7.284172661870503,556,https://nflallday.com/listing/moment/367
