Play_Type,mean,count,Position
2-Pt Attempt,37.97323488694047,4334,N/A
Block,98.30455259026688,1274,N/A
Blocked Kick,33.10721247563353,4617,N/A
Field Goal,24.43618824142876,7671,N/A
Forced Fumble,17.721819929509774,15605,N/A
Fumble Recovery,33.88778154275463,5017,N/A
Interception,28.583848268929426,67646,N/A
Kick Return,24.897266959492434,4098,N/A
Pass,62.69518871655169,113795,N/A
Pass Defense,40.446339311967066,3401,N/A
Player Melt,128.65882227095256,18697,N/A
Pressure,3405.6111111111113,18,N/A
Punt,10.653171390013496,3705,N/A
Punt Return,32.23627287853577,2404,N/A
Reception,30.200691883368233,350059,N/A
Rush,29.816857401460577,161306,N/A
Sack,20.733150900421126,61027,N/A
Safety,23.48562091503268,1530,N/A
Strip Sack,18.655976572265278,28001,N/A
Tackle,14.330402172507435,7733,N/A
Team Melt,72.96205922462498,20532,N/A
