Play_Type,mean,count,Position
2-Pt Attempt,38.85135666535588,2543,N/A
Block,72.20454545454545,220,N/A
Blocked Kick,37.8407917383821,2324,N/A
Field Goal,22.660194174757283,3193,N/A
Forced Fumble,18.112275153192332,5059,N/A
Fumble Recovery,37.00950369588173,2841,N/A
Interception,25.1523047648635,25751,N/A
Kick Return,22.828510182207932,1866,N/A
Pass,48.60923771880294,44275,N/A
Pass Defense,33.74288337924702,1089,N/A
Player Melt,82.15117030906505,7733,N/A
Pressure,1599.0,1,N/A
Punt,14.795959595959596,990,N/A
Punt Return,17.973309608540927,1124,N/A
Reception,30.982875035435406,155212,N/A
Rush,32.47429783439835,74021,N/A
Sack,16.184900074019247,27020,N/A
Safety,16.154525386313466,453,N/A
Strip Sack,17.154538634658664,9331,N/A
Tackle,14.698344573881055,3262,N/A
Team Melt,47.2591402169546,9956,N/A
