Play_Type,mean,count,Position
2-Pt Attempt,40.018049568965516,3712,N/A
Block,102.18737672583826,1014,N/A
Blocked Kick,34.53959773727215,3182,N/A
Field Goal,32.29312605356808,5339,N/A
Forced Fumble,20.4,7725,N/A
Fumble Recovery,37.525731584258324,3964,N/A
Interception,27.688755958500796,42796,N/A
Kick Return,25.791066705847783,3403,N/A
Pass,56.42522894718722,72615,N/A
Pass Defense,50.996309963099634,1897,N/A
Player Melt,120.4948617198126,13234,N/A
Pressure,2254.25,4,N/A
Punt,13.035743631881676,2434,N/A
Punt Return,27.710955710955712,2145,N/A
Reception,30.087044166487665,242084,N/A
Rush,31.72531634209818,111430,N/A
Sack,16.783133124491254,40541,N/A
Safety,19.655048076923077,832,N/A
Strip Sack,19.863364112802596,16028,N/A
Tackle,13.614093959731544,6258,N/A
Team Melt,54.24599220103986,18464,N/A
