Play_Type,Moment_Tier,mean,count,Position
2-Pt Attempt,COMMON,15.910306632446305,7403,N/A
2-Pt Attempt,LEGENDARY,2715.1739130434785,23,N/A
2-Pt Attempt,RARE,103.8540925266904,843,N/A
Block,RARE,89.57043558850788,2158,N/A
Blocked Kick,COMMON,27.243548783484886,12207,N/A
Blocked Kick,LEGENDARY,1212.8363636363636,55,N/A
Field Goal,COMMON,12.473214285714286,17136,N/A
Field Goal,RARE,214.56810035842295,558,N/A
Forced Fumble,COMMON,22.113843421865347,25904,N/A
Forced Fumble,LEGENDARY,1124.8095238095239,21,N/A
Forced Fumble,RARE,57.06934306569343,548,N/A
Fumble Recovery,COMMON,22.497623657806724,11362,N/A
Fumble Recovery,LEGENDARY,1318.7941176470588,34,N/A
Fumble Recovery,RARE,79.50137551581844,1454,N/A
Interception,COMMON,11.071236910424616,114786,N/A
Interception,LEGENDARY,1106.3190045248869,442,N/A
Interception,RARE,67.00139623017851,30081,N/A
Kick Return,COMMON,12.842701255919291,4857,N/A
Kick Return,RARE,61.70792079207921,2222,N/A
Pass,COMMON,48.018830749184296,190327,N/A
Pass,LEGENDARY,4100.843672456575,403,N/A
Pass,RARE,358.58697436832983,21926,N/A
Pass Defense,COMMON,17.229053394674473,7173,N/A
Pass Defense,LEGENDARY,1212.4594594594594,37,N/A
Pass Defense,RARE,85.93854748603351,537,N/A
Player Melt,COMMON,12.568921361855981,26552,N/A
Player Melt,LEGENDARY,2445.8212956068505,1343,N/A
Player Melt,RARE,90.88261291365744,18554,N/A
Player Melt,ULTIMATE,24736.0,4,N/A
Pressure,LEGENDARY,3996.75,44,N/A
Punt,COMMON,5.609313577260357,6614,N/A
Punt,LEGENDARY,1059.71875,64,N/A
Punt Return,COMMON,8.431555799890049,1819,N/A
Punt Return,RARE,78.32217573221757,1434,N/A
Reception,COMMON,20.15358472084575,606421,N/A
Reception,LEGENDARY,1934.20645905421,867,N/A
Reception,RARE,124.44979686593152,60305,N/A
Reception,ULTIMATE,32500.0,2,N/A
Rush,COMMON,22.961948962931608,264592,N/A
Rush,LEGENDARY,1498.5698689956332,458,N/A
Rush,RARE,126.97932752179328,16060,N/A
Sack,COMMON,12.19148892889472,98319,N/A
Sack,LEGENDARY,2229.6354166666665,96,N/A
Sack,RARE,129.09828284238446,7163,N/A
Safety,COMMON,13.891116680590365,7182,N/A
Safety,RARE,118.24222222222222,450,N/A
Strip Sack,COMMON,12.027021201551907,51034,N/A
Strip Sack,LEGENDARY,777.4920634920635,63,N/A
Strip Sack,RARE,94.55017633857005,3119,N/A
Tackle,COMMON,11.041933686263583,14356,N/A
Tackle,RARE,157.42884250474384,527,N/A
Team Melt,COMMON,21.818895604111784,19359,N/A
Team Melt,LEGENDARY,2337.642259414226,478,N/A
Team Melt,RARE,156.11238615664845,10980,N/A
