Play_Type,Moment_Tier,mean,count,Position
2-Pt Attempt,COMMON,12.740157480314961,127,N/A
2-Pt Attempt,RARE,67.74431818181819,176,N/A
Block,RARE,65.64227642276423,123,N/A
Blocked Kick,COMMON,14.0,316,N/A
Blocked Kick,LEGENDARY,920.0,1,N/A
Field Goal,COMMON,16.040462427745666,346,N/A
Field Goal,RARE,193.1320754716981,53,N/A
Forced Fumble,COMMON,14.454106280193237,207,N/A
Forced Fumble,RARE,50.951219512195124,82,N/A
Fumble Recovery,COMMON,47.40948275862069,1392,N/A
Fumble Recovery,LEGENDARY,1483.3333333333333,3,N/A
Fumble Recovery,RARE,66.67441860465117,43,N/A
Interception,COMMON,9.49789536981359,1663,N/A
Interception,LEGENDARY,922.047619047619,21,N/A
Interception,RARE,53.686526122823096,1091,N/A
Kick Return,COMMON,13.626666666666667,75,N/A
Kick Return,RARE,49.55952380952381,84,N/A
Pass,COMMON,27.022549252314267,4213,N/A
Pass,LEGENDARY,3793.285714285714,7,N/A
Pass,RARE,145.9204081632653,490,N/A
Pass Defense,COMMON,15.142857142857142,77,N/A
Pass Defense,LEGENDARY,864.4,5,N/A
Pass Defense,RARE,78.8,35,N/A
Player Melt,COMMON,14.180252583237658,871,N/A
Player Melt,LEGENDARY,1227.1764705882354,51,N/A
Player Melt,RARE,78.25726872246696,1135,N/A
Punt,COMMON,7.0,56,N/A
Punt,LEGENDARY,1535.0,2,N/A
Punt Return,COMMON,8.246376811594203,69,N/A
Punt Return,RARE,61.2,10,N/A
Reception,COMMON,20.302457142857143,17500,N/A
Reception,LEGENDARY,1358.9,10,N/A
Reception,RARE,92.175983436853,966,N/A
Rush,COMMON,18.552519103743037,7721,N/A
Rush,LEGENDARY,780.2222222222222,9,N/A
Rush,RARE,122.29473684210527,665,N/A
Sack,COMMON,10.381965552178318,1974,N/A
Sack,LEGENDARY,1499.0,1,N/A
Sack,RARE,69.60669456066945,239,N/A
Safety,COMMON,11.89655172413793,58,N/A
Safety,RARE,92.0,4,N/A
Strip Sack,COMMON,11.20498301245753,883,N/A
Strip Sack,LEGENDARY,910.25,8,N/A
Strip Sack,RARE,62.96116504854369,103,N/A
Tackle,COMMON,10.229965156794425,287,N/A
Tackle,RARE,113.5,6,N/A
Team Melt,COMMON,20.863559322033897,1180,N/A
Team Melt,LEGENDARY,1636.5454545454545,11,N/A
Team Melt,RARE,142.21375186846038,669,N/A
