Play_Type,Moment_Tier,mean,count,Position
2-Pt Attempt,COMMON,24.29375,2720,N/A
2-Pt Attempt,LEGENDARY,5000.0,1,N/A
2-Pt Attempt,RARE,105.20430107526882,651,N/A
Block,RARE,106.12693156732892,906,N/A
Blocked Kick,COMMON,31.78201737816396,2647,N/A
Blocked Kick,LEGENDARY,1066.5,6,N/A
Field Goal,COMMON,11.274879338083199,4351,N/A
Field Goal,RARE,217.84313725490196,510,N/A
Forced Fumble,COMMON,16.361916597624965,7242,N/A
Forced Fumble,LEGENDARY,1124.8095238095239,21,N/A
Forced Fumble,RARE,57.85,120,N/A
Fumble Recovery,COMMON,26.05954529050884,2771,N/A
Fumble Recovery,LEGENDARY,1367.25,8,N/A
Fumble Recovery,RARE,69.08471760797342,602,N/A
Interception,COMMON,11.211261498435903,32287,N/A
Interception,LEGENDARY,1101.86875,160,N/A
Interception,RARE,78.47399411187439,7133,N/A
Kick Return,COMMON,18.089840788476117,2638,N/A
Kick Return,RARE,55.5337726523888,607,N/A
Pass,COMMON,37.122295663388684,62030,N/A
Pass,LEGENDARY,3462.844155844156,77,N/A
Pass,RARE,223.9113359629566,5831,N/A
Pass Defense,COMMON,17.104950495049504,1515,N/A
Pass Defense,LEGENDARY,1225.3055555555557,36,N/A
Pass Defense,RARE,97.94190871369294,241,N/A
Player Melt,COMMON,9.934324898589917,5177,N/A
Player Melt,LEGENDARY,1787.3466666666666,525,N/A
Player Melt,RARE,86.99242854438766,5283,N/A
Pressure,LEGENDARY,2254.25,4,N/A
Punt,COMMON,6.359127832407012,2339,N/A
Punt,LEGENDARY,1197.1818181818182,11,N/A
Punt Return,COMMON,8.30609756097561,1640,N/A
Punt Return,RARE,96.7558886509636,467,N/A
Reception,COMMON,21.6668891473903,209756,N/A
Reception,LEGENDARY,1729.2135922330096,206,N/A
Reception,RARE,126.45351030858374,14842,N/A
Reception,ULTIMATE,32500.0,2,N/A
Rush,COMMON,24.321565910619796,99597,N/A
Rush,LEGENDARY,1380.7106918238994,159,N/A
Rush,RARE,143.79621848739495,4760,N/A
Sack,COMMON,12.144244673014487,36653,N/A
Sack,LEGENDARY,2607.866666666667,15,N/A
Sack,RARE,102.01926662523306,1609,N/A
Safety,COMMON,12.378681626928472,713,N/A
Safety,RARE,115.84210526315789,57,N/A
Strip Sack,COMMON,11.366609046384328,13884,N/A
Strip Sack,LEGENDARY,780.9090909090909,55,N/A
Strip Sack,RARE,98.23613963039014,974,N/A
Tackle,COMMON,11.005758157389636,5731,N/A
Tackle,RARE,162.53535353535352,99,N/A
Team Melt,COMMON,20.958390646492436,14540,N/A
Team Melt,LEGENDARY,2582.65625,32,N/A
Team Melt,RARE,176.335952848723,3054,N/A
