Player,Moment_Tier,Position,mean,count
A'Shawn Robinson,COMMON,DL,7.222634508348794,3234
A.J. Brown,COMMON,WR,19.569049373618277,6785
A.J. Brown,RARE,WR,268.07272727272726,825
A.J. Green,COMMON,WR,10.024661893396978,2514
A.J. Green,RARE,WR,69.41489361702128,658
A.J. Moore Jr.,COMMON,DB,8.083870967741936,2170
A.J. Terrell,COMMON,DB,10.717776712985145,4174
AJ Dillon,COMMON,RB,36.02480949849371,5643
Aaron Donald,COMMON,DL,72.01213540557802,4697
Aaron Donald,LEGENDARY,DL,2901.358024691358,81
Aaron Donald,RARE,DL,78.37349397590361,166
Aaron Jones,COMMON,RB,20.7067224319086,9803
Aaron Rodgers,COMMON,QB,55.16562220232766,2234
Aaron Rodgers,LEGENDARY,QB,9472.122807017544,57
Aaron Rodgers,RARE,QB,313.4499151103565,589
Adam Butler,COMMON,DL,5.274256651017215,2556
Adam Thielen,COMMON,WR,12.059900682805711,3222
Adrian Peterson,COMMON,RB,20.343226564795767,3403
Aeneas Williams,RARE,DB,77.91023166023166,1036
Ahman Green,RARE,RB,72.0625,544
Aidan Hutchinson,LEGENDARY,DL,860.0625,32
Akiem Hicks,COMMON,DL,8.724028188224597,4399
Albert Okwuegbunam,COMMON,TE,9.21888988361683,4468
Alex Okafor,COMMON,DL,5.909832879906723,2573
Alex Singleton,COMMON,LB,10.043856469735411,2759
Alexander Mattison,COMMON,RB,7.504385964912281,228
Ali Marpet,RARE,OL,78.56872852233677,1164
Allen Lazard,COMMON,WR,11.038402457757297,3906
Allen Lazard,RARE,WR,83.40732265446225,874
Allen Robinson II,COMMON,WR,9.505841924398625,1455
Alvin Kamara,COMMON,RB,25.118629908103593,4788
Alvin Kamara,RARE,RB,105.90818858560795,806
Amani Oruwariye,RARE,DB,57.02168021680217,738
Amari Cooper,COMMON,WR,29.59491030454735,4794
Amari Cooper,LEGENDARY,WR,1088.7241379310344,29
Amari Cooper,RARE,WR,43.434108527131784,129
Ambry Thomas,COMMON,DB,28.708989805375346,2158
Amon-Ra St. Brown,COMMON,WR,25.142506606266515,5298
Amon-Ra St. Brown,LEGENDARY,WR,1632.9705882352941,34
Amon-Ra St. Brown,RARE,WR,172.24628616106332,1279
Andre Roberts,RARE,WR,57.03174603174603,504
Andrew Whitworth,COMMON,OL,16.52667520273154,4686
Andy Dalton,COMMON,QB,8.878127896200185,4316
Anquan Boldin,RARE,WR,54.78656126482213,253
Anthony Barr,RARE,LB,62.33660130718954,612
Antoine Wesley,COMMON,WR,10.210047324353841,2747
Antonio Freeman,COMMON,WR,9.336119402985075,5025
Antonio Freeman,LEGENDARY,WR,1143.9803921568628,51
Antonio Gibson,COMMON,RB,13.404382989825201,3833
Arizona Cardinals,COMMON,Team,11.822547822547822,2457
Arizona Cardinals,LEGENDARY,Team,2180.935483870968,31
Asante Samuel,RARE,DB,44.30733944954128,436
Ashton Dulin,COMMON,WR,7.083742230945371,3057
Atlanta Falcons,COMMON,Team,13.891116680590365,7182
Austin Ekeler,COMMON,RB,37.71581339393129,7481
Austin Ekeler,LEGENDARY,RB,1480.6774193548388,31
Austin Ekeler,RARE,RB,159.4975272007913,1011
Azeez Ojulari,COMMON,LB,10.568564267812388,2793
Baker Mayfield,COMMON,QB,18.67904761904762,4200
Baker Mayfield,RARE,QB,67.99688473520249,321
Baltimore Ravens,COMMON,Team,11.704081632653061,196
Baltimore Ravens,RARE,Team,160.19838056680163,494
Ben Roethlisberger,COMMON,QB,33.878542510121456,4940
Ben Roethlisberger,LEGENDARY,QB,3326.3846153846152,39
Ben Skowronek,COMMON,WR,25.531485533673717,4113
Blake Lynch,COMMON,LB,5.91251056635672,2366
Bobby McCain,COMMON,DB,5.700862460281434,2203
Bobby Wagner,RARE,LB,57.9126213592233,103
Boston Scott,COMMON,RB,6.184182015167931,2769
Bradley Chubb,RARE,LB,73.31674208144797,663
Brandin Cooks,RARE,WR,84.08766233766234,924
Brandin Echols,COMMON,DB,10.684699634915367,3013
Brandon Aiyuk,COMMON,WR,13.243707093821511,7866
Brandon McManus,COMMON,K,7.36857514638907,3074
Brandon Powell,RARE,WR,85.75842696629213,534
Braxton Berrios,COMMON,WR,6.499826929733472,2889
Braxton Berrios,RARE,WR,65.64989939637827,497
Breece Hall,COMMON,RB,26.51031553398058,1648
Breshad Perriman,LEGENDARY,WR,1006.8478260869565,46
Brett Favre,COMMON,QB,143.51954177897574,2968
Brett Favre,LEGENDARY,QB,2449.9555555555557,45
Brett Favre,RARE,QB,258.8229166666667,768
Brett Favre,ULTIMATE,QB,24736.0,4
Brian Burns,COMMON,DL,6.81035878068519,3707
Brian Dawkins,RARE,DB,60.03174603174603,378
Brian Johnson,COMMON,K,18.561675011379155,2197
Brian Urlacher,COMMON,LB,18.163972701149426,5568
Brian Urlacher,LEGENDARY,LB,1291.0701754385964,57
Brock Wright,COMMON,TE,21.517223011363637,5632
Bryan Edwards,RARE,WR,83.28978622327791,1263
Bryant Young,LEGENDARY,DL,756.9318181818181,44
Bryant Young,RARE,DL,75.22727272727273,330
Budda Baker,COMMON,DB,6.7629142300194935,4104
Budda Baker,RARE,DB,65.8967213114754,610
Buffalo Bills,COMMON,Team,30.051948051948052,1463
Buffalo Bills,RARE,Team,387.84599156118145,474
Byron Leftwich,COMMON,QB,8.21505376344086,3441
Byron Murphy Jr.,COMMON,DB,9.162337662337663,462
Byron Pringle,COMMON,WR,6.833384286151024,3271
C.J. Gardner-Johnson,COMMON,DB,13.911886949293432,2406
C.J. Mosley,COMMON,LB,8.82986111111111,4032
C.J. Uzomah,COMMON,TE,6.397912885662432,4408
Cade York,COMMON,K,19.460584588131088,1129
Calvin Johnson,COMMON,WR,13.842440318302387,1885
Cam Akers,COMMON,RB,6.891472868217054,258
Cam Newton,COMMON,QB,12.641454965357967,3464
Cam Sims,RARE,WR,42.63414634146341,902
Cameron Heyward,RARE,DL,163.6010165184244,787
Cameron Jordan,RARE,DL,114.7095588235294,544
Cameron Sutton,COMMON,DB,8.243995313415349,3414
Carlos Dunlap,RARE,DL,90.10438024231128,1073
Carlos Watkins,RARE,DL,64.01294498381877,618
Carolina Panthers,COMMON,Team,13.799277605779153,1938
Carson Wentz,COMMON,QB,16.590811638591116,6530
Carson Wentz,RARE,QB,95.17302052785924,341
Casey Hayward,RARE,DB,53.5441354292624,827
Cedrick Wilson Jr.,COMMON,WR,12.302773497688753,2596
CeeDee Lamb,COMMON,WR,39.61455249373719,8782
CeeDee Lamb,RARE,WR,154.13861386138615,1111
Chad Johnson,COMMON,WR,8.819292604501607,3110
Chad Johnson,LEGENDARY,WR,817.6279069767442,43
Chandler Jones,RARE,LB,82.63235294117646,272
Charles Harris,COMMON,LB,6.150805832693783,2606
Charles Tillman,COMMON,DB,13.751081843838193,5315
Charles Tillman,LEGENDARY,DB,769.1794871794872,78
Chase Claypool,COMMON,WR,14.15427556457752,3941
Chase Claypool,RARE,WR,58.64990328820116,517
Chase Edmonds,COMMON,RB,9.879450518643118,3567
Chicago Bears,LEGENDARY,Team,3239.133333333333,15
Chicago Bears,RARE,Team,89.61962134251291,1162
Chidobe Awuzie,COMMON,DB,6.695492405683488,4082
Chidobe Awuzie,RARE,DB,52.45851528384279,916
Chris Conley,COMMON,WR,8.02998652291105,2968
Chris Godwin,LEGENDARY,WR,1583.051282051282,39
Chris Godwin,RARE,WR,118.89678135405106,901
Chris Harris Jr.,COMMON,DB,9.978397486252947,2546
Chris Jones,COMMON,DL,9.387700977954584,6033
Chris Miller,COMMON,QB,17.344644437887283,6778
Chris Olave,COMMON,WR,15.735802469135802,405
Christian Kirk,COMMON,WR,10.46767401535794,4037
Christian McCaffrey,COMMON,RB,47.62547384382108,3957
Christian McCaffrey,RARE,RB,71.82539682539682,63
Christian Watson,COMMON,WR,8.284280936454849,299
Christian Wilkins,RARE,DL,74.15405405405406,740
Chuba Hubbard,COMMON,RB,16.191761363636363,3520
Chuck Clark,RARE,DB,48.5846422338569,573
Cincinnati Bengals,COMMON,Team,28.758191224372485,5219
Cincinnati Bengals,LEGENDARY,Team,1907.6136363636363,44
Cincinnati Bengals,RARE,Team,170.07954545454547,880
Cliff Branch,LEGENDARY,WR,768.390243902439,41
Cliff Branch,RARE,WR,76.15294117647059,170
Clyde Edwards-Helaire,COMMON,RB,16.54773769184772,5017
Clyde Edwards-Helaire,RARE,RB,64.9571865443425,327
Cole Holcomb,RARE,LB,45.29103448275862,725
Cooper Kupp,COMMON,WR,24.545011993791448,14174
Cooper Kupp,LEGENDARY,WR,3940.718309859155,71
Cooper Kupp,RARE,WR,264.087323943662,2130
Cooper Rush,COMMON,QB,16.826315789473686,950
Cordarrelle Patterson,COMMON,WR,29.83578431372549,9792
Cordarrelle Patterson,RARE,WR,61.57426900584795,1710
Courtland Sutton,COMMON,WR,18.959669698420296,8356
Courtland Sutton,RARE,WR,129.2792207792208,770
Cris Carter,COMMON,WR,23.849726775956285,7320
Cris Carter,LEGENDARY,WR,1148.3846153846155,52
Cyril Grayson,COMMON,WR,5.8697359029264815,2802
D'Andre Swift,COMMON,RB,37.91963040446304,5736
D'Andre Swift,RARE,RB,86.0031055900621,322
D'Ernest Johnson,COMMON,RB,7.517924206213725,2929
D'Onta Foreman,COMMON,RB,5.705222437137331,2585
D.J. Reader,COMMON,DL,6.589139072847682,3775
D.J. Reed,RARE,DB,46.99369936993699,1111
DJ Chark Jr.,COMMON,WR,6.278940027894003,2868
DJ Moore,COMMON,WR,23.736263736263737,3185
DJ Moore,RARE,WR,98.45890410958904,438
DK Metcalf,COMMON,WR,30.119660254808892,4003
DK Metcalf,LEGENDARY,WR,1974.078947368421,38
DK Metcalf,RARE,WR,249.41059602649005,755
Dak Prescott,COMMON,QB,26.5158264947245,4265
Dak Prescott,LEGENDARY,QB,4469.210526315789,38
Dallas Cowboys,COMMON,Team,46.13412078491141,5249
Dallas Goedert,RARE,TE,195.44560487380332,1149
Dalvin Cook,LEGENDARY,RB,2325.595238095238,42
Dalvin Cook,RARE,RB,170.0747889022919,829
Dameon Pierce,LEGENDARY,RB,795.0,1
Damien Harris,COMMON,RB,15.029323308270676,1330
Damien Harris,RARE,RB,79.83645183645184,1443
Damiere Byrd,COMMON,WR,10.305785123966942,3751
Daniel Jones,COMMON,QB,17.118207571465362,3883
Daniel Jones,RARE,QB,42.333333333333336,39
Daniel Sorensen,RARE,DB,55.68665977249224,967
Dare Ogunbowale,COMMON,RB,5.460762331838565,2676
Darius Leonard,RARE,LB,107.63549920760697,631
Darius Slay Jr.,LEGENDARY,DB,635.75,4
Darius Slay Jr.,RARE,DB,66.5732484076433,471
Darius Slayton,COMMON,WR,6.387476979742173,2715
Darnell Mooney,COMMON,WR,13.81768558951965,3664
Darnell Mooney,RARE,WR,75.20086393088553,463
Darrel Williams,COMMON,RB,9.711962414166967,2767
Darrell Henderson,COMMON,RB,11.55839243498818,4230
Darren Waller,COMMON,TE,13.849822537710736,4508
Daunte Culpepper,COMMON,QB,9.345114345114345,3848
Davante Adams,COMMON,WR,69.05954757152362,3006
Davante Adams,LEGENDARY,WR,3264.6666666666665,36
Davante Adams,RARE,WR,185.57963163596966,923
David Long Jr.,RARE,DB,58.464114832535884,1254
David Long Jr.,RARE,LB,66.23305588585018,841
David Montgomery,COMMON,RB,18.084358219296725,5773
David Njoku,COMMON,TE,12.92162639952858,5091
Davis Mills,COMMON,QB,39.738147875214935,4071
Davis Mills,LEGENDARY,QB,1919.642857142857,42
Davis Mills,RARE,QB,50.69911504424779,113
Dawson Knox,COMMON,TE,10.493066884176182,4904
De'Vondre Campbell,COMMON,LB,12.116379310344827,3480
De'Vondre Campbell,RARE,LB,51.5,12
DeSean Jackson,RARE,WR,127.1953125,256
DeVante Parker,COMMON,WR,10.792166416791604,5336
DeVante Parker,RARE,WR,29.87272727272727,55
DeVonta Smith,COMMON,WR,23.637394277487854,5557
DeVonta Smith,LEGENDARY,WR,3019.8055555555557,36
DeVonta Smith,RARE,WR,118.314453125,512
Decobie Durant,COMMON,DB,11.13225806451613,620
Deebo Samuel,COMMON,WR,23.84732917736218,8181
Deebo Samuel,LEGENDARY,WR,2818.25,24
Deebo Samuel,RARE,WR,238.92514036182158,1603
Demarcus Lawrence,RARE,DL,111.77525773195876,485
Demarcus Robinson,COMMON,WR,5.967489228358794,2553
