Player,Moment_Tier,Position,mean,count
A'Shawn Robinson,COMMON,DL,8.136645962732919,161
A.J. Brown,COMMON,WR,22.125,192
A.J. Brown,RARE,WR,197.94117647058823,17
A.J. Green,COMMON,WR,7.598591549295775,142
A.J. Green,RARE,WR,46.1,10
A.J. Moore Jr.,COMMON,DB,7.261261261261262,111
A.J. Terrell,COMMON,DB,7.819047619047619,210
AJ Dillon,COMMON,RB,14.275510204081632,196
Aaron Donald,COMMON,DL,37.3,90
Aaron Donald,LEGENDARY,DL,1274.5,4
Aaron Donald,RARE,DL,78.37349397590361,166
Aaron Jones,COMMON,RB,16.84789156626506,664
Aaron Rodgers,COMMON,QB,30.975409836065573,366
Aaron Rodgers,LEGENDARY,QB,9625.0,2
Aaron Rodgers,RARE,QB,158.9512195121951,41
Adam Butler,COMMON,DL,7.063492063492063,126
Adam Thielen,COMMON,WR,8.04296875,256
Adrian Peterson,COMMON,RB,8.166666666666666,198
Aeneas Williams,RARE,DB,38.15,20
Ahman Green,RARE,RB,48.833333333333336,6
Aidan Hutchinson,LEGENDARY,DL,882.6666666666666,15
Akiem Hicks,COMMON,DL,7.043478260869565,161
Albert Okwuegbunam,COMMON,TE,7.655882352941177,340
Alex Okafor,COMMON,DL,7.021428571428571,140
Alex Singleton,COMMON,LB,9.596059113300493,406
Alexander Mattison,COMMON,RB,7.504385964912281,228
Ali Marpet,RARE,OL,64.65986394557824,147
Allen Lazard,COMMON,WR,8.86530612244898,245
Allen Lazard,RARE,WR,63.9,10
Allen Robinson II,COMMON,WR,9.117397454031117,707
Alvin Kamara,COMMON,RB,21.033991228070175,912
Alvin Kamara,RARE,RB,81.65625,32
Amani Oruwariye,RARE,DB,49.20245398773006,163
Amari Cooper,COMMON,WR,18.396103896103895,154
Amari Cooper,LEGENDARY,WR,730.3333333333334,3
Amari Cooper,RARE,WR,43.434108527131784,129
Ambry Thomas,COMMON,DB,13.154838709677419,155
Amon-Ra St. Brown,COMMON,WR,19.24206349206349,252
Amon-Ra St. Brown,LEGENDARY,WR,999.0,1
Amon-Ra St. Brown,RARE,WR,78.65259740259741,308
Andre Roberts,RARE,WR,39.625,8
Andrew Whitworth,COMMON,OL,8.292134831460674,89
Andy Dalton,COMMON,QB,14.462048636698599,1357
Anquan Boldin,RARE,WR,43.526315789473685,19
Anthony Barr,RARE,LB,47.833333333333336,12
Antoine Wesley,COMMON,WR,7.364285714285714,140
Antonio Freeman,COMMON,WR,7.3671875,128
Antonio Gibson,COMMON,RB,9.562700964630226,311
Arizona Cardinals,COMMON,Team,11.206349206349206,189
Arizona Cardinals,LEGENDARY,Team,1200.0,1
Asante Samuel,RARE,DB,38.47142857142857,70
Ashton Dulin,COMMON,WR,9.139219015280135,589
Atlanta Falcons,COMMON,Team,12.264,500
Austin Ekeler,COMMON,RB,29.228693181818183,1408
Austin Ekeler,LEGENDARY,RB,1050.0,1
Austin Ekeler,RARE,RB,145.31034482758622,29
Azeez Ojulari,COMMON,LB,11.077844311377245,501
Baker Mayfield,COMMON,QB,9.46039603960396,202
Baker Mayfield,RARE,QB,40.095238095238095,63
Baltimore Ravens,COMMON,Team,11.704081632653061,196
Baltimore Ravens,RARE,Team,144.41176470588235,17
Ben Roethlisberger,COMMON,QB,8.32,100
Ben Skowronek,COMMON,WR,11.623931623931623,234
Blake Lynch,COMMON,LB,6.7936507936507935,126
Bobby McCain,COMMON,DB,7.333333333333333,192
Bobby Wagner,RARE,LB,57.9126213592233,103
Boston Scott,COMMON,RB,8.053231939163497,263
Bradley Chubb,RARE,LB,69.04255319148936,47
