Player,Moment_Tier,Position,mean,count
A'Shawn Robinson,COMMON,DL,8.224489795918368,1764
A.J. Brown,COMMON,WR,31.304303797468354,1975
A.J. Brown,RARE,WR,280.54782608695655,115
A.J. Green,COMMON,WR,8.911935110081112,863
A.J. Green,RARE,WR,57.9327731092437,119
A.J. Moore Jr.,COMMON,DB,7.2325949367088604,632
A.J. Terrell,COMMON,DB,9.454545454545455,1188
AJ Dillon,COMMON,RB,47.48041919470491,3626
Aaron Donald,COMMON,DL,55.59217877094972,716
Aaron Donald,LEGENDARY,DL,1699.1538461538462,13
Aaron Donald,RARE,DL,78.37349397590361,166
Aaron Jones,COMMON,RB,25.403601229688185,4554
Aaron Rodgers,COMMON,QB,55.16562220232766,2234
Aaron Rodgers,LEGENDARY,QB,12305.555555555555,9
Aaron Rodgers,RARE,QB,322.7313019390582,361
Adam Butler,COMMON,DL,6.332985386221294,958
Adam Thielen,COMMON,WR,12.059900682805711,3222
Adrian Peterson,COMMON,RB,9.815931108719052,929
Aeneas Williams,RARE,DB,98.09021113243762,521
Ahman Green,RARE,RB,73.88475836431226,269
Aidan Hutchinson,LEGENDARY,DL,860.0625,32
Akiem Hicks,COMMON,DL,10.339141004862237,2468
Albert Okwuegbunam,COMMON,TE,12.419961427193828,2074
Alex Okafor,COMMON,DL,6.482007575757576,1056
Alex Singleton,COMMON,LB,9.09683426443203,1074
Alexander Mattison,COMMON,RB,7.504385964912281,228
Ali Marpet,RARE,OL,88.38771186440678,472
Allen Lazard,COMMON,WR,15.413606911447085,1852
Allen Lazard,RARE,WR,100.97883597883597,189
Allen Robinson II,COMMON,WR,9.505841924398625,1455
Alvin Kamara,COMMON,RB,26.51596941070625,2223
Alvin Kamara,RARE,RB,130.86341463414635,205
Amani Oruwariye,RARE,DB,50.962406015037594,266
Amari Cooper,COMMON,WR,31.78646441073512,1714
Amari Cooper,LEGENDARY,WR,1088.7241379310344,29
Amari Cooper,RARE,WR,43.434108527131784,129
Ambry Thomas,COMMON,DB,18.45718432510885,689
Amon-Ra St. Brown,COMMON,WR,33.61084254143646,2896
Amon-Ra St. Brown,LEGENDARY,WR,1706.5,8
Amon-Ra St. Brown,RARE,WR,125.56155143338954,593
Andre Roberts,RARE,WR,53.39316239316239,117
Andrew Whitworth,COMMON,OL,10.334733893557424,714
Andy Dalton,COMMON,QB,11.133469387755103,2450
Anquan Boldin,RARE,WR,54.78656126482213,253
Anthony Barr,RARE,LB,59.375,176
Antoine Wesley,COMMON,WR,7.854500616522811,811
Antonio Freeman,COMMON,WR,7.252918287937743,1028
Antonio Freeman,LEGENDARY,WR,1052.75,8
Antonio Gibson,COMMON,RB,13.149726110772976,1643
Arizona Cardinals,COMMON,Team,10.959537572254336,865
Arizona Cardinals,LEGENDARY,Team,1200.0,1
Asante Samuel,RARE,DB,44.30733944954128,436
Ashton Dulin,COMMON,WR,8.226837060702875,1565
Atlanta Falcons,COMMON,Team,12.103955841766329,2174
Austin Ekeler,COMMON,RB,48.66011673151751,5140
Austin Ekeler,LEGENDARY,RB,1441.6,15
Austin Ekeler,RARE,RB,207.33684210526314,285
Azeez Ojulari,COMMON,LB,10.963244613434728,1578
Baker Mayfield,COMMON,QB,16.76394194041253,1309
Baker Mayfield,RARE,QB,67.99688473520249,321
Baltimore Ravens,COMMON,Team,11.704081632653061,196
Baltimore Ravens,RARE,Team,178.54716981132074,106
Ben Roethlisberger,COMMON,QB,14.985798816568048,845
Ben Roethlisberger,LEGENDARY,QB,2896.2,5
Ben Skowronek,COMMON,WR,18.219903691813805,1246
Blake Lynch,COMMON,LB,6.570945945945946,888
Bobby McCain,COMMON,DB,6.100409836065574,976
Bobby Wagner,RARE,LB,57.9126213592233,103
Boston Scott,COMMON,RB,7.18050266565118,1313
Bradley Chubb,RARE,LB,76.765625,256
Brandin Cooks,RARE,WR,97.86036036036036,222
Brandin Echols,COMMON,DB,8.941253263707571,766
Brandon Aiyuk,COMMON,WR,13.94621790423317,2882
Brandon McManus,COMMON,K,8.923130193905816,1444
Brandon Powell,RARE,WR,75.63541666666667,96
Braxton Berrios,COMMON,WR,7.008791208791209,910
Braxton Berrios,RARE,WR,67.63636363636364,77
Breece Hall,COMMON,RB,26.51031553398058,1648
Breshad Perriman,LEGENDARY,WR,938.7272727272727,11
Brett Favre,COMMON,QB,77.08588957055214,652
Brett Favre,LEGENDARY,QB,1788.6666666666667,12
Brett Favre,RARE,QB,192.0410447761194,268
Brian Burns,COMMON,DL,6.590493601462523,1094
Brian Dawkins,RARE,DB,60.03174603174603,378
Brian Johnson,COMMON,K,14.200698080279231,573
Brian Urlacher,COMMON,LB,19.675356921166976,3222
Brian Urlacher,LEGENDARY,LB,1008.45,20
Brock Wright,COMMON,TE,28.394781622234827,3526
Bryan Edwards,RARE,WR,59.59111111111111,225
Bryant Young,LEGENDARY,DL,756.9318181818181,44
Bryant Young,RARE,DL,75.22727272727273,330
Budda Baker,COMMON,DB,6.829133374308543,1627
Budda Baker,RARE,DB,63.78231292517007,147
Buffalo Bills,COMMON,Team,30.051948051948052,1463
Buffalo Bills,RARE,Team,537.5636363636364,55
Byron Leftwich,COMMON,QB,7.800173761946134,1151
Byron Murphy Jr.,COMMON,DB,9.162337662337663,462
Byron Pringle,COMMON,WR,7.309006211180124,1288
C.J. Gardner-Johnson,COMMON,DB,11.23950233281493,643
C.J. Mosley,COMMON,LB,10.695345557122709,2127
C.J. Uzomah,COMMON,TE,5.908484848484848,1650
Cade York,COMMON,K,19.460584588131088,1129
Calvin Johnson,COMMON,WR,13.842440318302387,1885
Cam Akers,COMMON,RB,6.891472868217054,258
Cam Newton,COMMON,QB,9.150994575045209,1106
Cam Sims,RARE,WR,41.70469798657718,298
Cameron Heyward,RARE,DL,163.6010165184244,787
Cameron Jordan,RARE,DL,99.53846153846153,143
Cameron Sutton,COMMON,DB,10.34076886568581,2107
Carlos Dunlap,RARE,DL,75.11607142857143,336
Carlos Watkins,RARE,DL,61.40425531914894,235
Carolina Panthers,COMMON,Team,13.799277605779153,1938
Carson Wentz,COMMON,QB,18.359252235166622,3691
Carson Wentz,RARE,QB,95.17302052785924,341
Casey Hayward,RARE,DB,58.625786163522015,318
Cedrick Wilson Jr.,COMMON,WR,9.438717067583047,873
CeeDee Lamb,COMMON,WR,45.68485639686684,3830
CeeDee Lamb,RARE,WR,186.48555708390646,727
Chad Johnson,COMMON,WR,8.819292604501607,3110
Chad Johnson,LEGENDARY,WR,817.6279069767442,43
Chandler Jones,RARE,LB,82.63235294117646,272
Charles Harris,COMMON,LB,6.2423900789177,887
Charles Tillman,COMMON,DB,18.434826203208555,2992
Charles Tillman,LEGENDARY,DB,829.125,24
Chase Claypool,COMMON,WR,15.597992916174734,1694
Chase Claypool,RARE,WR,58.64990328820116,517
Chase Edmonds,COMMON,RB,9.879450518643118,3567
Chicago Bears,RARE,Team,115.47282608695652,552
Chidobe Awuzie,COMMON,DB,6.412337662337662,1232
Chidobe Awuzie,RARE,DB,48.52439024390244,164
Chris Conley,COMMON,WR,7.2272727272727275,968
Chris Godwin,LEGENDARY,WR,1635.0,3
Chris Godwin,RARE,WR,118.89678135405106,901
Chris Harris Jr.,COMMON,DB,9.925555555555556,900
Chris Jones,COMMON,DL,12.484605087014726,2988
Chris Miller,COMMON,QB,17.958256599140576,3258
Chris Olave,COMMON,WR,15.735802469135802,405
Christian Kirk,COMMON,WR,13.211692307692308,1625
Christian McCaffrey,COMMON,RB,47.62547384382108,3957
Christian McCaffrey,RARE,RB,71.82539682539682,63
Christian Watson,COMMON,WR,8.284280936454849,299
Christian Wilkins,RARE,DL,74.47619047619048,189
Chuba Hubbard,COMMON,RB,10.609485368314834,991
Chuck Clark,RARE,DB,49.86875,160
Cincinnati Bengals,COMMON,Team,38.59685534591195,3180
Cincinnati Bengals,LEGENDARY,Team,2221.0,7
Cincinnati Bengals,RARE,Team,183.98534798534797,273
Cliff Branch,LEGENDARY,WR,768.390243902439,41
Cliff Branch,RARE,WR,76.15294117647059,170
Clyde Edwards-Helaire,COMMON,RB,21.481060606060606,2640
Clyde Edwards-Helaire,RARE,RB,64.9571865443425,327
Cole Holcomb,RARE,LB,47.10232558139535,215
Cooper Kupp,COMMON,WR,30.21861512478889,5329
Cooper Kupp,LEGENDARY,WR,2928.0,7
Cooper Kupp,RARE,WR,247.90996784565917,311
Cooper Rush,COMMON,QB,16.826315789473686,950
Cordarrelle Patterson,COMMON,WR,40.05745505816003,5674
Cordarrelle Patterson,RARE,WR,72.82397003745318,1068
Courtland Sutton,COMMON,WR,22.559927084915692,6583
Courtland Sutton,RARE,WR,152.56424581005587,179
Cris Carter,COMMON,WR,11.539223153084539,1313
Cris Carter,LEGENDARY,WR,906.3636363636364,11
Cyril Grayson,COMMON,WR,5.964349376114082,1122
D'Andre Swift,COMMON,RB,51.39331163065996,3379
D'Andre Swift,RARE,RB,86.0031055900621,322
D'Ernest Johnson,COMMON,RB,6.972104818258664,1183
D'Onta Foreman,COMMON,RB,6.430243902439025,1025
D.J. Reader,COMMON,DL,5.936594202898551,1104
D.J. Reed,RARE,DB,44.432029795158286,537
DJ Chark Jr.,COMMON,WR,6.278940027894003,2868
DJ Moore,COMMON,WR,23.025183630640083,953
DJ Moore,RARE,WR,98.1063829787234,282
DK Metcalf,COMMON,WR,29.24016658954188,2161
DK Metcalf,LEGENDARY,WR,1874.75,4
DK Metcalf,RARE,WR,213.11111111111111,126
Dak Prescott,COMMON,QB,29.566258351893097,1796
Dak Prescott,LEGENDARY,QB,4126.25,4
Dallas Cowboys,COMMON,Team,54.62796460176991,2825
Dallas Goedert,RARE,TE,253.13574660633483,663
Dalvin Cook,LEGENDARY,RB,1748.6363636363637,11
Dalvin Cook,RARE,RB,227.8524945770065,461
Dameon Pierce,LEGENDARY,RB,795.0,1
Damien Harris,COMMON,RB,15.029323308270676,1330
Damien Harris,RARE,RB,77.94279176201373,437
Damiere Byrd,COMMON,WR,6.696868008948546,894
Daniel Jones,COMMON,QB,17.118207571465362,3883
Daniel Jones,RARE,QB,42.333333333333336,39
Daniel Sorensen,RARE,DB,49.978813559322035,236
Dare Ogunbowale,COMMON,RB,5.866388308977036,1437
Darius Leonard,RARE,LB,110.07462686567165,134
Darius Slay Jr.,LEGENDARY,DB,635.75,4
Darius Slay Jr.,RARE,DB,66.5732484076433,471
Darius Slayton,COMMON,WR,6.6737918215613385,1076
Darnell Mooney,COMMON,WR,16.01079365079365,1575
Darnell Mooney,RARE,WR,91.10989010989012,182
Darrel Williams,COMMON,RB,8.013192612137203,758
Darrell Henderson,COMMON,RB,12.159552134359693,1429
Darren Waller,COMMON,TE,16.94013391098858,2539
Daunte Culpepper,COMMON,QB,6.776091081593928,1054
Davante Adams,COMMON,WR,69.05954757152362,3006
Davante Adams,LEGENDARY,WR,2692.6666666666665,9
Davante Adams,RARE,WR,234.04255319148936,282
David Long Jr.,RARE,DB,51.370370370370374,216
David Long Jr.,RARE,LB,59.17054263565891,129
David Montgomery,COMMON,RB,18.084358219296725,5773
David Njoku,COMMON,TE,16.61526623576485,3249
Davis Mills,COMMON,QB,33.52928870292887,956
Davis Mills,LEGENDARY,QB,2115.75,8
Davis Mills,RARE,QB,50.69911504424779,113
Dawson Knox,COMMON,TE,13.354343220338983,1888
De'Vondre Campbell,COMMON,LB,13.268836648583484,1659
De'Vondre Campbell,RARE,LB,51.5,12
DeSean Jackson,RARE,WR,127.1953125,256
DeVante Parker,COMMON,WR,8.705073086844369,1163
DeVante Parker,RARE,WR,29.87272727272727,55
DeVonta Smith,COMMON,WR,23.312925170068027,1617
DeVonta Smith,LEGENDARY,WR,2038.4285714285713,7
DeVonta Smith,RARE,WR,118.314453125,512
Decobie Durant,COMMON,DB,11.13225806451613,620
Deebo Samuel,COMMON,WR,27.087034949267192,4435
Deebo Samuel,LEGENDARY,WR,2489.0,3
Deebo Samuel,RARE,WR,181.35530085959886,349
Demarcus Lawrence,RARE,DL,101.96551724137932,145
Demarcus Robinson,COMMON,WR,7.194122885129119,1123
Demario Davis,RARE,LB,50.47322970639033,579
Denver Broncos,COMMON,Team,18.810185185185187,216
Denzel Perryman,COMMON,LB,6.302915082382763,1578
Denzel Ward,COMMON,DB,20.993055555555557,1296
Denzel Ward,RARE,DB,63.609693877551024,392
Derek Carr,COMMON,QB,33.697241821680564,3118
Derek Carr,RARE,QB,117.78297161936561,599
Derrick Brooks,COMMON,LB,11.266434782608696,2875
Derrick Brown,COMMON,DL,7.246788990825688,1090
Derrick Gore,RARE,RB,83.2807881773399,203
Derrick Henry,COMMON,RB,40.61944372238108,3847
Derrick Henry,LEGENDARY,RB,1542.8636363636363,22
Derwin James Jr.,COMMON,DB,15.157185628742514,668
Detroit Lions,COMMON,Team,9.727272727272727,880
Detroit Lions,LEGENDARY,Team,1679.75,4
Detroit Lions,RARE,Team,310.8301886792453,53
Devin Duvernay,RARE,WR,71.41009463722398,317
Devin McCourty,RARE,DB,57.950819672131146,122
Devin Singletary,COMMON,RB,7.920799059929495,4255
Devonta Freeman,COMMON,RB,6.20303605313093,1054
Diontae Johnson,COMMON,WR,20.36513409961686,2610
Diontae Johnson,RARE,WR,98.25090909090909,275
Donald Driver,COMMON,WR,19.40991902834008,1976
Donald Driver,RARE,WR,63.70652173913044,92
Donovan Peoples-Jones,COMMON,WR,10.319802329685846,2833
Dont'a Hightower,RARE,LB,70.77777777777777,72
Drake London,COMMON,WR,27.497581202487908,2894
Dre' Bly,RARE,DB,53.06666666666667,255
Dre'Mont Jones,COMMON,DL,8.093023255813954,1720
Drew Lock,COMMON,QB,9.471965933286018,1409
Duron Harmon,COMMON,DB,7.0287891617273495,2362
Dyami Brown,COMMON,WR,11.957603686635945,2170
Elijah Mitchell,COMMON,RB,18.439739413680783,2456
Elijah Mitchell,LEGENDARY,RB,1223.3333333333333,15
Elijah Moore,COMMON,WR,15.648344784509682,1601
Evan Engram,COMMON,TE,7.478472786352559,1231
Evan McPherson,COMMON,K,16.044426494345718,1238
Evan McPherson,LEGENDARY,K,1402.1666666666667,30
Ezekiel Elliott,RARE,RB,211.9612188365651,361
Fletcher Cox,RARE,DL,63.6575682382134,403
Foster Moreau,COMMON,TE,6.25352977286679,1629
Foye Oluokun,COMMON,LB,10.661514683153014,1294
Gabriel Davis,COMMON,WR,47.60075143365632,5057
Gabriel Davis,LEGENDARY,WR,2425.0,2
Gardner Minshew II,COMMON,QB,7.295051353874883,1071
Garrett Bradbury,RARE,OL,100.55714285714286,280
Garrett Wilson,COMMON,WR,23.72202166064982,1385
Geno Smith,COMMON,QB,11.521602513747053,2546
George Kittle,COMMON,TE,11.985733244857332,3014
George Kittle,LEGENDARY,TE,2452.12,25
George Kittle,RARE,TE,140.57894736842104,399
George Pickens,LEGENDARY,WR,1099.5,8
Germaine Pratt,RARE,LB,45.649068322981364,322
Green Bay Packers,LEGENDARY,Team,2599.5,2
Green Bay Packers,RARE,Team,272.50847457627117,236
Greg Jennings,RARE,WR,56.3109243697479,119
Gregory Rousseau,COMMON,DL,23.563714902807774,926
Gregory Rousseau,LEGENDARY,DL,1376.037037037037,27
Harrison Butker,COMMON,K,10.10546875,1280
Hayden Hurst,COMMON,TE,8.594316511513965,4082
Herman Moore,COMMON,WR,7.343612334801762,681
Houston Texans,COMMON,Team,13.876074860900355,1977
Hunter Henry,COMMON,TE,7.953401677539609,1073
Hunter Renfrow,COMMON,WR,11.40472972972973,1480
Hunter Renfrow,RARE,WR,76.4274193548387,248
Ihmir Smith-Marsette,COMMON,WR,8.1868978805395,1038
Indianapolis Colts,COMMON,Team,19.53095238095238,840
Isaiah McKenzie,COMMON,WR,11.732746641963873,2159
J.C. Jackson,COMMON,DB,12.56691515796947,2817
J.J. Watt,RARE,DL,95.52075471698113,265
Ja'Marr Chase,COMMON,WR,64.03570357035703,3333
Ja'Marr Chase,LEGENDARY,WR,5264.666666666667,3
Ja'Marr Chase,RARE,WR,229.22865013774106,363
Jack Jones,COMMON,DB,9.606451612903227,155
Jacksonville Jaguars,LEGENDARY,Team,663.5416666666666,24
Jacksonville Jaguars,RARE,Team,189.51818181818183,330
Jacoby Brissett,COMMON,QB,7.319298245614035,285
Jadeveon Clowney,COMMON,DL,12.456404736275566,929
Jaelan Phillips,RARE,LB,197.77319587628867,97
Jaire Alexander,COMMON,DB,12.388802488335925,643
Jakeem Grant Sr.,LEGENDARY,WR,1449.5,2
Jakeem Grant Sr.,RARE,WR,47.92948717948718,156
Jakobi Meyers,COMMON,WR,9.112341772151899,1264
Jakobi Meyers,RARE,WR,47.21917808219178,219
Jalen Hurts,COMMON,QB,52.73336998350742,3638
Jalen Hurts,RARE,QB,193.52542372881356,354
Jalen Pitre,COMMON,DB,8.577922077922079,154
Jalen Ramsey,COMMON,DB,13.346291331546023,2238
Jalen Ramsey,LEGENDARY,DB,1847.4545454545455,11
Jalen Ramsey,RARE,DB,77.1875,144
Jalen Reagor,COMMON,WR,5.681326604181687,2774
Jalen Reeves-Maybin,COMMON,LB,6.216632443531828,974
Jamaal Williams,COMMON,RB,8.854251012145749,247
Jamal Agnew,COMMON,WR,6.613333333333333,150
Jamal Agnew,RARE,WR,49.285353535353536,396
Jameis Winston,COMMON,QB,15.3953394937726,4978
Jameis Winston,RARE,QB,37.49523809523809,105
Jamel Dean,RARE,DB,55.1868978805395,519
James Conner,COMMON,RB,16.179594272076372,1676
James Conner,LEGENDARY,RB,1157.875,8
James Robinson,COMMON,RB,8.626762873073138,3049
James Robinson,RARE,RB,45.66831683168317,202
James Washington,RARE,WR,44.12169312169312,189
Jared Cook,COMMON,TE,6.510711225364181,1167
Jared Goff,RARE,QB,124.35330073349633,818
Jarvis Landry,COMMON,WR,9.425565081839439,1283
Jarvis Landry,RARE,WR,50.84741144414169,367
Javon Walker,COMMON,WR,9.59047619047619,2730
Javonte Williams,COMMON,RB,46.42991071428571,2240
Javonte Williams,LEGENDARY,RB,1979.4444444444443,18
Javonte Williams,RARE,RB,150.10502283105023,219
Jaylen Waddle,COMMON,WR,41.62282512533176,3391
Jaylen Waddle,LEGENDARY,WR,3066.0,3
Jaylen Waddle,RARE,WR,233.4817518248175,137
Jaylen Watson,RARE,DB,56.86530612244898,245
Jayron Kearse,RARE,DB,53.97560975609756,287
Jeffery Simmons,RARE,DL,57.516949152542374,472
Jelani Woods,COMMON,TE,7.471153846153846,208
Jerick McKinnon,COMMON,RB,9.231278655119715,1963
Jerome Baker,COMMON,LB,12.058162590879048,1513
Jerricho Cotchery,RARE,WR,50.38532110091743,109
Jerry Jeudy,COMMON,WR,20.916564417177913,6520
Jessie Bates III,COMMON,DB,7.411111111111111,1170
Jimmie Ward,COMMON,DB,7.351351351351352,1332
Jimmy Garoppolo,COMMON,QB,26.45258064516129,3100
Jimmy Garoppolo,RARE,QB,54.18681318681319,273
Joe Burrow,COMMON,QB,50.36573236889693,4424
Joe Burrow,LEGENDARY,QB,3862.25,4
Joe Burrow,RARE,QB,241.7887323943662,213
Joe Haden,RARE,DB,108.55844155844156,77
Joe Mixon,COMMON,RB,20.65435476516188,4386
Joe Mixon,LEGENDARY,RB,1051.1875,16
Joe Schobert,COMMON,LB,6.909695817490494,1052
Joey Bosa,COMMON,DL,18.57215673781459,3139
Joey Bosa,RARE,DL,154.900826446281,121
Johnnie Morton,RARE,WR,48.29218106995885,243
Jonathan Taylor,COMMON,RB,39.134336677814936,5382
Jonathan Taylor,LEGENDARY,RB,2974.0,5
Jonathan Taylor,RARE,RB,269.5859375,384
Jordan Love,COMMON,QB,8.124557678697807,2826
Jordan Poyer,COMMON,DB,12.914893617021276,141
Jordan Willis,LEGENDARY,DL,994.1111111111111,9
Josh Allen,COMMON,QB,68.2700228832952,4370
Josh Allen,LEGENDARY,QB,6258.333333333333,6
Josh Allen,RARE,LB,141.02843601895734,422
Josh Gordon,COMMON,WR,6.744485294117647,1088
Josh Jacobs,COMMON,RB,12.29741568112133,4566
Josh Jacobs,RARE,RB,44.12903225806452,31
Josh Johnson,COMMON,QB,6.328792007266122,1101
Josh Palmer,COMMON,WR,23.164067013287116,1731
Josh Reynolds,COMMON,WR,6.387832699619772,1052
Josiah Deguara,COMMON,TE,6.227760736196319,1304
JuJu Smith-Schuster,COMMON,WR,17.32125946969697,4224
Julian Love,COMMON,DB,8.418760469011726,597
Julio Jones,COMMON,WR,40.610770089285715,3584
Julio Jones,LEGENDARY,WR,792.1489361702128,94
Justin Fields,COMMON,QB,42.81978706829395,3851
Justin Fields,RARE,QB,69.95167286245353,269
Justin Herbert,COMMON,QB,54.747540983606555,3965
Justin Herbert,LEGENDARY,QB,5479.2,5
Justin Herbert,RARE,QB,1210.8991596638655,119
Justin Jefferson,COMMON,WR,75.1028525512254,2489
Justin Jefferson,LEGENDARY,WR,2250.3478260869565,23
Justin Simmons,RARE,DB,70.9771689497717,219
Justin Tucker,RARE,K,214.56810035842295,558
K'Waun Williams,COMMON,DB,7.5115781973637334,2807
K.J. Osborn,COMMON,WR,8.998427672955975,1272
K.J. Osborn,RARE,WR,47.544600938967136,213
Ka'imi Fairbairn,COMMON,K,8.179383116883116,1232
Kadarius Toney,COMMON,WR,14.083870967741936,2325
Kam Chancellor,RARE,DB,49.30350877192983,570
Kamu Grugier-Hill,COMMON,LB,7.181464174454828,1284
Kansas City Chiefs,COMMON,Team,15.600847457627118,2360
Kansas City Chiefs,LEGENDARY,Team,1604.6,5
Kareem Hunt,COMMON,RB,10.204724409448819,1143
Ke'Shawn Vaughn,RARE,RB,67.61858974358974,312
Keelan Cole,COMMON,WR,6.3052631578947365,1045
Keenan Allen,COMMON,WR,20.547145606157795,1559
Keenan Allen,RARE,WR,100.49271137026238,343
Kendall Blanton,COMMON,TE,6.75843137254902,1275
Kendrick Bourne,COMMON,WR,5.835820895522388,2546
Kendrick Bourne,RARE,WR,55.529411764705884,85
Kenneth Gainwell,COMMON,RB,10.419021982951996,2229
Kenny Golladay,COMMON,WR,7.911927877947296,1442
Kenny Moore II,COMMON,DB,8.265125430398426,2033
Kenny Pickett,COMMON,QB,17.78014184397163,423
Kevin Byard,RARE,DB,54.712609970674485,341
Kevin Williams,COMMON,DL,6.294627383015598,1154
Keyshawn Johnson,COMMON,WR,7.463022508038585,2799
Khalil Herbert,COMMON,RB,21.120967741935484,2356
Khalil Herbert,RARE,RB,37.775,40
Khalil Mack,RARE,LB,163.59259259259258,297
Kirk Cousins,RARE,QB,131.8921832884097,742
Kwity Paye,COMMON,DL,12.804501875781575,2399
Kyle Hamilton,COMMON,DB,7.422794117647059,272
Kyle Pitts,COMMON,TE,31.27124183006536,2448
Kyle Pitts,LEGENDARY,TE,4519.8,10
Kyle Pitts,RARE,TE,230.14655172413794,464
Kyle Rudolph,COMMON,TE,10.367816091954023,1044
Kyler Murray,COMMON,QB,31.741465743614228,4189
Kyler Murray,LEGENDARY,QB,1884.0,17
Kyler Murray,RARE,QB,266.6025641025641,312
Lamar Jackson,COMMON,QB,68.53163152053274,6307
Lamar Jackson,LEGENDARY,QB,1922.6,15
Lance Briggs,COMMON,LB,20.353846153846153,1105
Lance Briggs,RARE,LB,46.856540084388186,237
Landon Collins,COMMON,DB,6.330669944683467,1627
Lane Johnson,COMMON,OL,7.628813559322034,1180
Laquon Treadwell,COMMON,WR,5.740482233502538,1576
Larry Fitzgerald,COMMON,WR,9.931310577328276,2373
Larry Fitzgerald,LEGENDARY,WR,986.9545454545455,22
Las Vegas Raiders,COMMON,Team,19.873563218390803,870
Las Vegas Raiders,RARE,Team,225.04964539007094,141
Latavius Murray,RARE,RB,64.2457627118644,354
Laveranues Coles,COMMON,WR,6.077151335311573,674
Laviska Shenault Jr.,COMMON,WR,6.532679738562091,306
LeRoy Butler,COMMON,DB,11.901313002964846,2361
LeRoy Butler,LEGENDARY,DB,1124.8095238095239,21
LeRoy Butler,RARE,DB,74.05917159763314,169
Leighton Vander Esch,RARE,LB,64.68456375838926,298
Leonard Floyd,COMMON,LB,10.156387665198238,908
Leonard Fournette,COMMON,RB,9.526143790849673,306
Leonard Fournette,LEGENDARY,RB,932.5,26
Leonard Fournette,RARE,RB,187.24381625441697,283
Leonard Williams,COMMON,DL,7.354337152209492,1222
Levi Wallace,COMMON,DB,6.97357926221336,2006
Lil'Jordan Humphrey,COMMON,WR,6.112512124151309,1031
Logan Cooke,COMMON,P,6.35645472061657,1557
Logan Thomas,RARE,TE,95.5108153078203,601
Logan Wilson,RARE,LB,58.46586345381526,249
London Fletcher,RARE,LB,48.372549019607845,255
Los Angeles Chargers,LEGENDARY,Team,4249.5,2
Los Angeles Rams,COMMON,Team,26.632707774798927,1119
Los Angeles Rams,LEGENDARY,Team,2429.6666666666665,9
Los Angeles Rams,RARE,Team,160.72573839662448,237
Mac Jones,COMMON,QB,23.76322852760736,5216
Mac Jones,LEGENDARY,QB,2799.3333333333335,6
Mack Hollins,COMMON,WR,7.513986013986014,1430
Mack Hollins,RARE,WR,29.927272727272726,55
Malik Turner,RARE,WR,51.21052631578947,380
Marcus Williams,RARE,DB,40.201101928374655,363
Mark Andrews,COMMON,TE,30.96498740554156,3970
Mark Andrews,LEGENDARY,TE,1532.7755102040817,49
Mark Andrews,RARE,TE,157.12473572938688,473
Mark Brunell,COMMON,QB,7.216384683882458,1123
Mark Clayton,RARE,WR,66.84722222222223,72
