Player,Position,mean,count
New Orleans Saints,Team,1999.6666666666667,3
Nick Bolton,LB,1400.0,2
Pressley Harvin III,P,1351.3333333333333,3
Jordan Willis,DL,900.0,2
Breshad Perriman,WR,875.0,1
Aidan Hutchinson,DL,848.0,1
Zach Allen,DL,837.0,2
Tom Brady,QB,593.4298245614035,114
Trevon Diggs,DB,526.25,28
Sam Mills,LB,406.30555555555554,36
Leonard Fournette,RB,254.36363636363637,22
Micah Parsons,LB,218.43333333333334,30
Micah Hyde,DB,211.86363636363637,22
Cameron Heyward,DL,206.87128712871288,505
Ezekiel Elliott,RB,205.75757575757575,66
Matt Ryan,QB,204.8095238095238,21
Dalvin Cook,RB,199.98876404494382,89
Justin Tucker,K,188.57142857142858,91
Dallas Goedert,TE,187.11111111111111,18
Cliff Branch,WR,177.55555555555554,9
Minkah Fitzpatrick,DB,177.1851851851852,27
Seattle Seahawks,Team,175.26666666666668,15
Jacksonville Jaguars,Team,168.63636363636363,55
Green Bay Packers,Team,164.41666666666666,12
Tony Boselli,OL,164.16666666666666,12
Jared Goff,QB,158.71186440677965,118
Evan McPherson,K,148.56976744186048,86
Khalil Mack,LB,148.06451612903226,31
Gregory Rousseau,DL,147.4255319148936,47
Baltimore Ravens,Team,146.44444444444446,9
Tennessee Titans,Team,144.04615384615386,195
Jaelan Phillips,LB,143.71428571428572,7
Kirk Cousins,QB,143.0,90
New England Patriots,Team,140.52173913043478,253
Richard Sherman,DB,135.09259259259258,54
Chicago Bears,Team,132.08666666666667,150
Richard Seymour,DL,129.25757575757575,66
Rashod Bateman,WR,113.76923076923077,13
Bryant Young,DL,112.75524475524476,143
Mike Williams,WR,111.16666666666667,36
