Player,Position,mean,count
Tampa Bay Buccaneers,Team,7099.666666666667,6
Trey Lance,QB,5701.4,15
New York Jets,Team,4825.0,4
Los Angeles Chargers,Team,3993.375,8
New Orleans Saints,Team,3081.6363636363635,11
Travis Homer,RB,1309.4444444444443,9
Rashod Bateman,WR,1223.4411764705883,34
Nick Bolton,LB,1217.0,16
Pressley Harvin III,P,1140.75,16
Jordan Willis,DL,1128.7368421052631,19
Michael Davis,DB,1037.7222222222222,18
Breshad Perriman,WR,947.2631578947369,19
Zach Allen,DL,863.7727272727273,22
Aidan Hutchinson,DL,848.0,1
Micah Parsons,LB,741.2450980392157,204
Tom Brady,QB,437.3405215646941,1994
Green Bay Packers,Team,376.7521367521368,234
Seattle Seahawks,Team,284.7432950191571,261
Tony Boselli,OL,258.2013422818792,447
Sam Mills,LB,243.71806167400882,227
Brett Favre,QB,224.85689753863767,3494
Justin Tucker,K,217.84313725490196,510
Richard Seymour,DL,214.75213675213675,234
Cliff Branch,WR,214.321608040201,199
Dallas Goedert,TE,212.57575757575756,561
Trevon Diggs,DB,209.35925925925926,270
Ezekiel Elliott,RB,208.8076062639821,447
Dalvin Cook,RB,207.09859154929578,781
Aaron Rodgers,QB,194.94775510204082,2450
Jacksonville Jaguars,Team,189.75255102040816,392
Leonard Fournette,RB,188.88501026694044,487
San Francisco 49ers,Team,187.06422018348624,545
Matt Ryan,QB,187.046875,256
Baltimore Ravens,Team,184.72611464968153,157
Jaelan Phillips,LB,184.50617283950618,162
Mike Williams,WR,181.25023786869647,1051
Micah Hyde,DB,174.710843373494,498
Minkah Fitzpatrick,DB,171.6551724137931,29
Patrick Mahomes II,QB,171.2268408551069,5052
Khalil Mack,LB,171.14238410596028,302
