Player,Position,mean,count
Trey Lance,QB,6975.0,1
New Orleans Saints,Team,1974.75,4
Nick Bolton,LB,1430.0,5
Pressley Harvin III,P,1424.8,5
Breshad Perriman,WR,1187.5,2
Jordan Willis,DL,930.0,4
Aidan Hutchinson,DL,858.2,5
Zach Allen,DL,831.0,3
New York Jets,Team,826.0,3
Trevon Diggs,DB,484.6666666666667,57
Tom Brady,QB,407.051912568306,366
Sam Mills,LB,337.2241379310345,58
Dallas Goedert,TE,286.3135888501742,287
Green Bay Packers,Team,258.8421052631579,38
Leonard Fournette,RB,254.82258064516128,62
Rashod Bateman,WR,249.73469387755102,49
Dalvin Cook,RB,247.57241379310344,145
Matt Ryan,QB,213.09259259259258,54
Ezekiel Elliott,RB,210.0,112
Mike Williams,WR,206.44612068965517,464
Seattle Seahawks,Team,199.11363636363637,44
Cameron Heyward,DL,197.95229357798166,545
Jacksonville Jaguars,Team,194.9784946236559,93
Justin Tucker,K,191.42068965517242,145
Micah Hyde,DB,181.07142857142858,42
Richard Seymour,DL,171.54255319148936,94
Minkah Fitzpatrick,DB,165.816091954023,87
Khalil Mack,LB,162.04494382022472,89
Baltimore Ravens,Team,157.7391304347826,23
Kirk Cousins,QB,157.66346153846155,208
Rashaad Penny,RB,152.93428063943162,563
Jaelan Phillips,LB,147.92307692307693,13
Cliff Branch,WR,142.53846153846155,26
Patrick Mahomes II,QB,140.35,1100
New England Patriots,Team,137.29722222222222,360
Jared Goff,QB,137.22935779816513,327
Tony Boselli,OL,137.0,26
Tennessee Titans,Team,130.8140350877193,285
Chicago Bears,Team,125.33333333333333,246
Bryant Young,DL,122.21511627906976,172
