Player,Position,mean,count
Trey Lance,QB,7043.75,4
Los Angeles Chargers,Team,4249.5,2
New Orleans Saints,Team,2059.6,5
New York Jets,Team,1507.0,4
Nick Bolton,LB,1378.8,10
Travis Homer,RB,1274.8,5
Pressley Harvin III,P,1249.1538461538462,13
Jordan Willis,DL,1045.5714285714287,7
Breshad Perriman,WR,1019.625,8
Michael Davis,DB,966.8333333333334,12
Zach Allen,DL,915.4285714285714,14
Aidan Hutchinson,DL,858.2,5
Tom Brady,QB,525.589463220676,1006
Rashod Bateman,WR,406.2641509433962,53
Trevon Diggs,DB,300.056338028169,142
Green Bay Packers,Team,284.53218884120173,233
Seattle Seahawks,Team,281.4148148148148,270
Dalvin Cook,RB,266.6921397379913,458
Leonard Fournette,RB,259.5910780669145,269
Tony Boselli,OL,257.31180400890867,449
Sam Mills,LB,249.31799163179917,239
Micah Hyde,DB,245.52,150
Dallas Goedert,TE,241.12753036437246,494
Micah Parsons,LB,224.31470588235294,340
Justin Tucker,K,216.52319109461968,539
Cliff Branch,WR,215.54146341463414,205
Ezekiel Elliott,RB,213.86039886039887,351
Mike Williams,WR,212.85180412371133,776
Jaelan Phillips,LB,212.53164556962025,79
Richard Seymour,DL,209.53846153846155,247
Matt Ryan,QB,207.68387096774194,155
Jacksonville Jaguars,Team,200.4823151125402,311
Baltimore Ravens,Team,185.1829268292683,82
Khalil Mack,LB,166.97517730496455,282
Patrick Mahomes II,QB,166.1617122473246,2523
Minkah Fitzpatrick,DB,165.816091954023,87
Cameron Heyward,DL,164.7503234152652,773
Bryant Young,DL,155.29395604395606,364
San Francisco 49ers,Team,154.32463768115943,345
New England Patriots,Team,145.62735042735042,585
