Number,Name,Type,Status,Site,Series,Category,Cost,Moments,Supply,Available,Sold Out,Datetime,Include
1,"Premium (Series 1, Week 13)",PREMIUM,COMPLETE,https://nflallday.com/packs/1,Series 1,Premium,249,4,9000,0,TRUE,2022-02-26 10:00+11,TRUE
2,"Standard (Series 1, Week 13)",STANDARD,COMPLETE,https://nflallday.com/packs/2,Series 1,Standard,49,3,52000,135,FALSE,2022-02-26 06:00+11,TRUE
3,"Standard (Series 1, Week 14)",STANDARD,COMPLETE,https://nflallday.com/packs/3,Series 1,Standard,49,3,51000,1,FALSE,2022-03-03 18:00+11,TRUE
4,"Premium (Series 1, Week 14)",PREMIUM,COMPLETE,https://nflallday.com/packs/4,Series 1,Premium,249,4,8739,0,TRUE,2022-03-03 10:00+11,TRUE
5,"Standard (Series 1, Week 17)",STANDARD,COMPLETE,https://nflallday.com/packs/5,Series 1,Standard,49,3,49000,0,TRUE,,FALSE
6,"Premium (Series 1, Week 17)",PREMIUM,COMPLETE,https://nflallday.com/packs/6,Series 1,Premium,249,4,9000,0,TRUE,,FALSE
7,"Standard (Series 1, Week 18)",STANDARD,COMPLETE,https://nflallday.com/packs/7,Series 1,Standard,49,3,45000,0,TRUE,2022-03-11 06:00+11,TRUE
8,"Premium (Series 1, Week 18)",PREMIUM,COMPLETE,https://nflallday.com/packs/8,Series 1,Premium,249,4,8500,0,TRUE,2022-03-11 10:00+11,TRUE
9,Super Wild Card Weekend (Series 1),PLAYOFFS,COMPLETE,https://nflallday.com/packs/9,Series 1,Playoffs,49,3,37500,0,TRUE,2022-04-09 04:00+11,FALSE
10,Divisional Round (Series 1),PLAYOFFS,COMPLETE,https://nflallday.com/packs/10,Series 1,Playoffs,49,3,32500,0,TRUE,2022-01-29 08:00+11,FALSE
11,Conference Championships (Series 1),PLAYOFFS,COMPLETE,https://nflallday.com/packs/11,Series 1,Playoffs,49,3,42204,0,TRUE,2022-02-05 08:00+11,FALSE
12,Pro Bowl (Series 1),PLAYOFFS,COMPLETE,https://nflallday.com/packs/12,Series 1,Playoffs,59,3,50000,0,TRUE,,FALSE
13,Super Bowl LVI Standard Pack (Series 1),STANDARD,COMPLETE,https://nflallday.com/packs/13,Series 1,Standard,59,4,36000,0,TRUE,2022-02-17 07:00+11,TRUE
14,Super Bowl LVI Premium Pack (Series 1),PREMIUM,COMPLETE,https://nflallday.com/packs/14,Series 1,Premium,259,9,32000,421,FALSE,2022-02-19 07:00+11,TRUE
15,Historical I: In the Spotlight,STANDARD,COMPLETE,https://nflallday.com/packs/15,Historical,Historical,84,4,56037,0,TRUE,2022-04-23 04:00+11,FALSE
16,Rewind: Catalysts (Series 1),STANDARD,COMPLETE,https://nflallday.com/packs/16,Series 1,Rewind,59,4,31650,0,TRUE,2022-05-27 04:00+11,FALSE
17,"Rewind: Reward (Series 1, Release 1)",STANDARD,COMPLETE,https://nflallday.com/packs/17,Series 1,Rewind,0,3,2017,0,TRUE,,FALSE
18,"Rewind: Reward (Series 1, Release 1.1)",STANDARD,COMPLETE,https://nflallday.com/packs/18,Series 1,Rewind,0,3,100,0,TRUE,,FALSE
19,"Rewind: Reward (Series 1, Release 2)",STANDARD,COMPLETE,https://nflallday.com/packs/19,Series 1,Rewind,0,3,6472,0,TRUE,,FALSE
20,"Rewind: Reward (Series 1, Release 3)",STANDARD,COMPLETE,https://nflallday.com/packs/20,Series 1,Rewind,0,3,715,0,TRUE,,FALSE
21,"Celebration (Series 1, Release 1)",STANDARD,COMPLETE,https://nflallday.com/packs/21,Series 1,Celebration,0,3,44624,0,TRUE,,FALSE
22,"Rewind: Reward (Series 1, Release 4)",STANDARD,COMPLETE,https://nflallday.com/packs/22,Series 1,Rewind,0,3,7979,0,TRUE,,FALSE
23,"Rewind: Reward (Series 1, Release 5)",STANDARD,COMPLETE,https://nflallday.com/packs/23,Series 1,Rewind,0,3,1122,0,TRUE,,FALSE
24,"Rewind: Reward (Series 1, Release 6)",PREMIUM,COMPLETE,https://nflallday.com/packs/24,Series 1,Rewind,0,5,28,0,TRUE,,FALSE
25,"Rewind: Reward (Series 1, Release 7)",STANDARD,COMPLETE,https://nflallday.com/packs/25,Series 1,Rewind,0,3,11611,0,TRUE,,FALSE
