season,season_type,game_week,team_abb,player_id,name_short,rank,qbr_total,pts_added,qb_plays,epa_total,pass,run,exp_sack,penalty,qbr_raw,sack,name_first,name_last,name_display,headshot_href,team,qualified
2022,Regular,Season Total,BUF,3918298,J. Allen,1.0,87.1,13.4,90,20.6,15.1,5.3,0,0.2,89.1,-0.9,Josh,Allen,Josh Allen,https://a.espncdn.com/i/headshots/nfl/players/full/3918298.png,Bills,True
2022,Regular,Season Total,MIA,4241479,T. Tagovailoa,2.0,85.7,11.2,91,17.0,16.0,0.4,0,0.7,85.0,-1.8,Tua,Tagovailoa,Tua Tagovailoa,https://a.espncdn.com/i/headshots/nfl/players/full/4241479.png,Dolphins,True
2022,Regular,Season Total,KC,3139477,P. Mahomes,3.0,82.4,9.7,82,15.6,16.9,-1.4,0,0.0,84.2,-0.5,Patrick,Mahomes,Patrick Mahomes,https://a.espncdn.com/i/headshots/nfl/players/full/3139477.png,Chiefs,True
2022,Regular,Season Total,BAL,3916387,L. Jackson,4.0,76.5,7.6,80,13.5,10.4,2.2,0,0.8,79.3,-0.5,Lamar,Jackson,Lamar Jackson,https://a.espncdn.com/i/headshots/nfl/players/full/3916387.png,Ravens,True
2022,Regular,Season Total,JAX,4360310,T. Lawrence,5.0,73.1,6.5,85,13.3,12.6,0.2,0,0.5,74.5,-1.0,Trevor,Lawrence,Trevor Lawrence,https://a.espncdn.com/i/headshots/nfl/players/full/4360310.png,Jaguars,True
2022,Regular,Season Total,DAL,2972515,C. Rush,6.0,72.6,4.4,51,7.1,7.0,-0.2,0,0.3,77.1,-0.8,Cooper,Rush,Cooper Rush,https://a.espncdn.com/i/headshots/nfl/players/full/2972515.png,Cowboys,True
2022,Regular,Season Total,PHI,4040715,J. Hurts,7.0,70.8,7.0,106,15.6,10.8,5.9,0,-1.0,71.9,-1.0,Jalen,Hurts,Jalen Hurts,https://a.espncdn.com/i/headshots/nfl/players/full/4040715.png,Eagles,True
2022,Regular,Season Total,LAC,4038941,J. Herbert,8.0,70.6,6.5,90,14.7,15.2,-0.8,0,0.3,73.6,-0.9,Justin,Herbert,Justin Herbert,https://a.espncdn.com/i/headshots/nfl/players/full/4038941.png,Chargers,True
2022,Regular,Season Total,ARI,3917315,K. Murray,9.0,62.7,5.5,103,12.3,4.6,8.3,0,-0.5,68.0,-1.8,Kyler,Murray,Kyler Murray,https://a.espncdn.com/i/headshots/nfl/players/full/3917315.png,Cardinals,True
2022,Regular,Season Total,SEA,15864,G. Smith,10.0,62.4,2.1,73,8.0,7.0,-0.5,0,1.5,60.0,-1.7,Geno,Smith,Geno Smith,https://a.espncdn.com/i/headshots/nfl/players/full/15864.png,Seahawks,True
2022,Regular,Season Total,ATL,2576980,M. Mariota,11.0,59.4,3.1,85,10.0,6.0,1.9,0,2.1,62.7,-0.7,Marcus,Mariota,Marcus Mariota,https://a.espncdn.com/i/headshots/nfl/players/full/2576980.png,Falcons,True
2022,Regular,Season Total,CLE,2578570,J. Brissett,12.0,59.3,2.5,77,9.8,7.3,1.2,0,1.3,61.2,-0.9,Jacoby,Brissett,Jacoby Brissett,https://a.espncdn.com/i/headshots/nfl/players/full/2578570.png,Browns,True
2022,Regular,Season Total,DET,3046779,J. Goff,13.0,55.0,1.6,82,8.5,6.9,1.1,0,0.5,56.9,-0.9,Jared,Goff,Jared Goff,https://a.espncdn.com/i/headshots/nfl/players/full/3046779.png,Lions,True
2022,Regular,Season Total,WSH,2573079,C. Wentz,14.0,51.7,1.1,108,9.9,8.1,1.3,0,0.5,53.5,-3.0,Carson,Wentz,Carson Wentz,https://a.espncdn.com/i/headshots/nfl/players/full/2573079.png,Commanders,True
