player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
00-0019596,2022,REG,36,61,402.0,2,1.0,3.0,19.0,0,0,623.0,168.0,17.0,3.4795605302348327,0,1.2925662439426744,0.05490486820072594,5,-3.0,0,1.0,1.0,0.0,-8.552574290253688,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,19.78,19.78,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15136210590756044
00-0023459,2022,REG,41,59,429.0,2,1.0,7.0,56.0,1,1,329.0,264.0,19.0,-0.0962347871571545,0,2.709769026883756,0.2043114685312357,6,9.0,0,1.0,1.0,1.0,-7.825522301282035,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.06,20.06,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1169270226159944
00-0026143,2022,REG,48,80,547.0,1,4.0,7.0,43.0,3,0,589.0,236.0,26.0,-16.279108709647,0,1.8273218593431064,0.045394012481295425,4,12.0,0,2.0,1.0,2.0,-4.417951034498401,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,17.08,17.08,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11114003123373241
00-0026158,2022,REG,63,103,616.0,5,1.0,5.0,27.0,1,1,666.0,284.0,33.0,5.23126456894925,0,1.8883143172616856,0.14620770201780453,3,6.0,0,0.0,0.0,1.0,-0.13692106335656717,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,41.24,41.24,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1925123704602745
00-0026498,2022,REG,56,77,512.0,4,5.0,8.0,49.0,1,0,488.0,246.0,30.0,-10.255245397950791,0,2.096553578330057,0.1986875759662027,1,2.0,0,0.0,0.0,1.0,0.15880790958181024,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,26.680000000000003,26.680000000000003,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15388164724881764
00-0027942,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,5,11,29.0,0,0.0,0.0,91.0,9.0,2.0,-6.25466286498704,1,0.6360544217687074,0.26004728132387706,0.3629156573441973,0.6441118821267537,0.0,4.9,9.899999999999999,2,0.12643678160919541,0.1784313725490196,0.032490974729241874,0.3324002704530088,0.06016597510373444,0.0,0.08,0.07142857142857142,0.03008298755186722,0.048132780082987554,0.3333333333333333,0.04874926137482764
00-0027944,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,17.0,0,0.0,0.0,2.0,1.3329689854872413,0,3,5,69.0,0,0.0,0.0,110.0,15.0,2.0,2.7300653654403564,0,0.6272727272727273,0.18518518518518517,0.36065573770491804,0.5302367941712204,0.0,8.6,11.6,1,0.18518518518518517,0.36065573770491804,0.1724137931034483,0.5663023679417123,0.32547169811320753,0.0,0.2222222222222222,0.2,0.16273584905660377,0.26037735849056604,2.5555555555555554,0.1636568848758465
00-0027966,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,14,82.0,0,1.0,1.0,5.0,-1.8271970148198307,0,3,3,4.0,0,1.0,1.0,-15.0,19.0,0.0,-5.7504776591667905,0,-0.5,0.08125,-0.03714746070209715,0.09587177750853201,0.0,4.600000000000001,7.600000000000001,2,0.04054054054054054,-0.018159806295399514,0.14728682170542637,0.0462829657744912,0.007920792079207921,0.0,0.0,0.0,0.0039603960396039604,0.006336633663366337,0.05405405405405406,0.04418604651162791
00-0028002,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,5,6,51.0,0,0.0,0.0,84.0,12.0,4.0,4.34228395979153,0,1.5304075235109718,0.2057142857142857,0.47053785542994175,0.6379479273723878,0.0,5.1000000000000005,10.100000000000001,2,0.09375,0.2346368715083799,0.04,0.32833449720670393,0.10323886639676114,0.0,0.17391304347826086,0.16,0.05161943319838057,0.08259109311740892,0.796875,0.05887153182560038
00-0028986,2022,REG,0,2,0.0,0,0.0,0.0,0.0,0,0,25.0,0.0,0.0,-1.8931406389456242,0,0.0,0.0,3,2.0,0,0.0,0.0,0.0,-5.391547637234908,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016600265604249668
